areas,bathrooms,bedrooms,latitude,longitude,r$_pmo,coord
65.0,2.0,2.0,-23.0048388,-43.3662798,2300,"(-23.0048388, -43.3662798)"
86.0,2.0,2.0,-22.9436132,-43.1858805,3600,"(-22.9436132, -43.1858805)"
80.0,4.0,2.0,-22.9332703,-43.237241,3000,"(-22.9332703, -43.237241)"
100.0,2.0,3.0,-22.912447600000004,-43.2220924,3100,"(-22.912447600000004, -43.2220924)"
78.0,2.0,3.0,-22.9709611,-43.3953514,1800,"(-22.9709611, -43.3953514)"
100.0,1.0,2.0,-22.9209163,-43.2629986,1400,"(-22.9209163, -43.2629986)"
72.0,1.0,2.0,-22.9126776,-43.23876679999999,1350,"(-22.9126776, -43.23876679999999)"
210.0,1.0,4.0,-23.0132586,-43.29810850000001,4500,"(-23.0132586, -43.29810850000001)"
280.0,2.0,4.0,-22.9641329,-43.2028646,10000,"(-22.9641329, -43.2028646)"
41.0,1.0,1.0,-22.9681327,-43.1830609,1850,"(-22.9681327, -43.1830609)"
60.0,2.0,2.0,-22.9130141,-43.2167248,1400,"(-22.9130141, -43.2167248)"
65.0,2.0,1.0,-22.928988,-43.353419099999996,1000,"(-22.928988, -43.353419099999996)"
82.0,2.0,3.0,-22.9073832,-43.2876155,1200,"(-22.9073832, -43.2876155)"
57.0,2.0,1.0,-22.8472129,-43.3405186,850,"(-22.8472129, -43.3405186)"
103.0,1.0,3.0,-22.9755839,-43.193523600000006,3200,"(-22.9755839, -43.193523600000006)"
55.0,2.0,2.0,-22.9838087,-43.1952591,2900,"(-22.9838087, -43.1952591)"
48.0,1.0,2.0,-22.8894532,-43.2898959,850,"(-22.8894532, -43.2898959)"
45.0,1.0,1.0,-22.8698509,-43.2674381,700,"(-22.8698509, -43.2674381)"
84.0,1.0,2.0,-22.9235907,-43.2617675,1600,"(-22.9235907, -43.2617675)"
105.0,1.0,3.0,-22.9600532,-43.208837,3700,"(-22.9600532, -43.208837)"
208.0,5.0,4.0,-22.9393527,-43.1745967,3900,"(-22.9393527, -43.1745967)"
85.0,1.0,2.0,-22.9840518,-43.2215379,3500,"(-22.9840518, -43.2215379)"
72.0,2.0,2.0,-23.0185151,-43.4634021,1400,"(-23.0185151, -43.4634021)"
120.0,1.0,3.0,-22.9396582,-43.3369363,1500,"(-22.9396582, -43.3369363)"
300.0,3.0,4.0,-22.9387029,-43.17358170000001,15000,"(-22.9387029, -43.17358170000001)"
96.0,2.0,2.0,-22.9625297,-43.2257912,6800,"(-22.9625297, -43.2257912)"
75.0,2.0,2.0,-22.9883399,-43.3529408,2500,"(-22.9883399, -43.3529408)"
80.0,3.0,2.0,-22.960081,-43.2091516,2500,"(-22.960081, -43.2091516)"
154.0,1.0,3.0,-22.9408899,-43.342256400000004,3000,"(-22.9408899, -43.342256400000004)"
63.0,2.0,2.0,-22.9128075,-43.2141126,1200,"(-22.9128075, -43.2141126)"
160.0,1.0,3.0,-23.0161184,-43.45588950000001,2950,"(-23.0161184, -43.45588950000001)"
45.0,1.0,1.0,-22.9258587,-43.3152522,900,"(-22.9258587, -43.3152522)"
63.0,1.0,1.0,-22.9880019,-43.3660133,1700,"(-22.9880019, -43.3660133)"
100.0,,2.0,-22.9832693,-43.204855,7000,"(-22.9832693, -43.204855)"
53.0,2.0,2.0,-22.8763065,-43.2680946,2200,"(-22.8763065, -43.2680946)"
117.0,2.0,3.0,-22.9607745,-43.2028991,7200,"(-22.9607745, -43.2028991)"
107.0,3.0,3.0,-22.711015600000003,-43.464103,4300,"(-22.711015600000003, -43.464103)"
42.0,1.0,1.0,-22.8912676,-43.3031848,590,"(-22.8912676, -43.3031848)"
26.0,1.0,1.0,-22.9218044,-43.1802404,1050,"(-22.9218044, -43.1802404)"
124.0,4.0,3.0,-23.0111148,-43.46874260000001,2810,"(-23.0111148, -43.46874260000001)"
82.0,3.0,3.0,-23.0160373,-43.45105086987847,1700,"(-23.0160373, -43.45105086987847)"
91.0,2.0,3.0,-22.9842762,-43.2198988,5000,"(-22.9842762, -43.2198988)"
128.0,2.0,3.0,-22.9766415,-43.188297,5900,"(-22.9766415, -43.188297)"
65.0,1.0,1.0,-22.9173799,-43.18917929999999,2200,"(-22.9173799, -43.18917929999999)"
70.0,1.0,2.0,-22.9880907,-43.2278097,4200,"(-22.9880907, -43.2278097)"
160.0,2.0,2.0,-22.9646379,-43.20259,7500,"(-22.9646379, -43.20259)"
60.0,1.0,2.0,-22.951239800000003,-43.1752885,2000,"(-22.951239800000003, -43.1752885)"
70.0,2.0,1.0,-22.924047,-43.23641660000001,1800,"(-22.924047, -43.23641660000001)"
69.0,2.0,2.0,-23.0063466,-43.4358159,1850,"(-23.0063466, -43.4358159)"
50.0,1.0,2.0,-22.8355116,-43.3182064,900,"(-22.8355116, -43.3182064)"
136.0,3.0,3.0,-22.9258655,-43.2584503,2000,"(-22.9258655, -43.2584503)"
150.0,2.0,4.0,-22.9662234,-43.3827688,4000,"(-22.9662234, -43.3827688)"
70.0,2.0,2.0,-22.9351193,-43.24199160000001,1300,"(-22.9351193, -43.24199160000001)"
60.0,,2.0,-22.912072100000003,-43.2718329,1300,"(-22.912072100000003, -43.2718329)"
100.0,1.0,3.0,-22.9306672,-43.2422681,1600,"(-22.9306672, -43.2422681)"
606.0,6.0,4.0,-22.9840518,-43.2215379,60000,"(-22.9840518, -43.2215379)"
57.0,1.0,1.0,-22.3716194,-41.78448270000001,1500,"(-22.3716194, -41.78448270000001)"
41.0,1.0,1.0,-23.8277352,-49.4317003,1100,"(-23.8277352, -49.4317003)"
200.0,4.0,3.0,-22.9729585,-43.3822057,4500,"(-22.9729585, -43.3822057)"
54.0,,2.0,-22.9690461,-43.18946629999999,2200,"(-22.9690461, -43.18946629999999)"
28.0,1.0,1.0,-22.9287208,-43.2638385,750,"(-22.9287208, -43.2638385)"
104.0,1.0,2.0,-22.927071,-43.2286731,1650,"(-22.927071, -43.2286731)"
40.0,1.0,1.0,-22.9842762,-43.2198988,2800,"(-22.9842762, -43.2198988)"
77.0,,2.0,-22.9691174,-43.3859074,1700,"(-22.9691174, -43.3859074)"
79.0,2.0,2.0,-22.9543895,-43.1867818,3250,"(-22.9543895, -43.1867818)"
100.0,3.0,2.0,-22.9862375,-43.2091782,13000,"(-22.9862375, -43.2091782)"
400.0,1.0,3.0,-22.9862375,-43.2091782,25000,"(-22.9862375, -43.2091782)"
160.0,5.0,3.0,-22.9938255,-43.35094820000001,6500,"(-22.9938255, -43.35094820000001)"
88.0,2.0,2.0,-22.938056600000003,-43.1832597,2800,"(-22.938056600000003, -43.1832597)"
97.0,2.0,3.0,-22.9631893,-43.2225979,2980,"(-22.9631893, -43.2225979)"
48.0,1.0,2.0,-22.9548472,-43.3765899,1500,"(-22.9548472, -43.3765899)"
198.0,2.0,4.0,-23.0149238,-43.407209,6000,"(-23.0149238, -43.407209)"
124.0,4.0,3.0,-23.0111148,-43.46874260000001,2890,"(-23.0111148, -43.46874260000001)"
190.0,1.0,4.0,-22.9274038,-43.2370177,4480,"(-22.9274038, -43.2370177)"
120.0,2.0,3.0,-22.981271300000003,-43.2004164,6000,"(-22.981271300000003, -43.2004164)"
82.0,2.0,3.0,-12.8059674,-41.3322919,2500,"(-12.8059674, -41.3322919)"
130.0,3.0,3.0,-22.9323641,-43.1821872,3401,"(-22.9323641, -43.1821872)"
