,address,areas,bathrooms,bedrooms,parking-spaces,price,price-item-0,price-item-1,
29,"Engenho de Dentro, Rio de Janeiro",51 m²,2,2,,R$ 1.100 /mês,condomínio R$ 590,IPTU R$ 5,
30,"Rua Joaquim Moreira Neves, Recreio dos Bandeirantes",85 m²,3,2,1,R$ 2.000 /mês,condomínio R$ 474,IPTU R$ 100,
31,"Rua Deputado Soares Filho, Tijuca",84 m²,2,2,1,R$ 2.200 /mês,condomínio R$ 900,IPTU R$ 160,
32,"Rua dos Artistas, Vila Isabel",120 m²,3,3,2,R$ 2.200 /mês,condomínio R$ 1.300,IPTU R$ 23,
33,"Rua da Vila, Piedade",60 m²,1,2,1,R$ 1.200 /mês,condomínio R$ 475,IPTU R$ 20,
34,"Avenida Jaime Poggi, Jacarepaguá",65 m²,2,2,1,R$ 1.700 /mês,condomínio R$ 750,,
35,"Jacarepaguá, Rio de Janeiro",52 m²,2,2,1,R$ 1.250 /mês,condomínio R$ 688,IPTU R$ 77,
0,"Rua Francisco Sá, Copacabana",25 m²,1,1,,R$ 1.100 /mês,condomínio R$ 355,,
1,"Rua Bauhíneas da Península, Barra da Tijuca",90 m²,2,2,1,R$ 2.700 /mês,condomínio R$ 1.300,IPTU R$ 187,
2,"Rua Humberto de Campos, Leblon",130 m²,2,3,1,R$ 4.500 /mês,condomínio R$ 1.933,IPTU R$ 433,
3,"Rua Lins de Vasconcelos, Lins de Vasconcelos",60 m²,2,2,1,R$ 1.200 /mês,condomínio R$ 342,IPTU R$ 16,
4,"Rua Campos Sales, Tijuca",100 m²,2,3,,R$ 1.800 /mês,condomínio R$ 871,IPTU R$ 115,
5,"Avenida Padre Guilherme Decaminada, Santa Cruz",45 m²,1,2,1,R$ 570 /mês,condomínio R$ 224,,
6,"Rua Professor Hermes Lima, Recreio dos Bandeirantes",120 m²,3,2,1,R$ 2.300 /mês,condomínio R$ 700,IPTU R$ 250,
7,"Estrada Rodrigues Caldas, Taquara",50 m²,1,2,1,R$ 1.300 /mês,condomínio R$ 400,IPTU R$ 60,
8,"Avenida Jornalista Tim Lopes, Barra da Tijuca",130 m²,3,2,2,R$ 4.000 /mês,condomínio R$ 2.000,,
9,"Avenida Tim Maia, Recreio dos Bandeirantes",90 m²,,2,2,R$ 1.600 /mês,condomínio R$ 860,IPTU R$ 207,
10,"Rua Anita Garibaldi, Copacabana",110 m²,3,3,1,R$ 3.200 /mês,condomínio R$ 1.047,IPTU R$ 323,
11,"Estrada de Camorim, Jacarepaguá",60 m²,1,2,1,R$ 1.200 /mês,condomínio R$ 300,,
12,"Rua Vicente Scofano, Recreio dos Bandeirantes",90 m²,2,2,1,R$ 2.000 /mês,condomínio R$ 570,IPTU R$ 152,
13,"Rua Laplace, Campo Grande",70 m²,2,2,1,R$ 1.100 /mês,condomínio R$ 270,IPTU R$ 65,
14,"Rua Estevão Silva, Cachambi",109 m²,2,3,1,R$ 1.800 /mês,IPTU R$ 90,,
15,"Rua Paulo Silva Araújo, Méier",90 m²,2,2,2,R$ 1.000 /mês,condomínio R$ 681,IPTU R$ 52,
16,"Rua Uruguai, Andaraí",60 m²,2,1,,R$ 1.300 /mês,condomínio R$ 428,IPTU R$ 67,
17,"Campo Grande, Rio de Janeiro",60 m²,2,2,,R$ 1.000 /mês,condomínio R$ 250,,
18,"Rua Professor Nehemias Gueiros, Recreio dos Bandeirantes",75 m²,3,2,2,R$ 1.600 /mês,condomínio R$ 881,IPTU R$ 170,
19,"Rua General Ribeiro da Costa, Leme",50 m²,1,1,,R$ 1.800 /mês,condomínio R$ 527,IPTU R$ 108,
20,"Rua Francisco Sá, Copacabana",49 m²,1,1,,R$ 1.900 /mês,condomínio R$ 630,IPTU R$ 109,
21,"Avenida Visconde de Albuquerque, Leblon",100 m²,3,2,1,R$ 3.900 /mês,condomínio R$ 1.450,IPTU R$ 508,
22,"Rua Marquês de Abrantes, Flamengo",112 m²,3,3,1,R$ 3.000 /mês,condomínio R$ 1.380,IPTU R$ 240,
23,"Rua Paramopama, Ribeira",70 m²,2,2,1,R$ 2.300 /mês,condomínio R$ 300,,
24,"Estrada Capenha, Pechincha",92 m²,,2,1,R$ 1.000 /mês,condomínio R$ 650,IPTU R$ 54,
25,"Estrada Pau-ferro, Pechincha",65 m²,1,3,1,R$ 1.000 /mês,condomínio R$ 548,IPTU R$ 95,
26,"Rua São Clemente, Botafogo",84 m²,2,2,1,R$ 2.700 /mês,condomínio R$ 735,IPTU R$ 200,
27,"Rua São Clemente, Botafogo",35 m²,1,1,,R$ 1.350 /mês,condomínio R$ 500,IPTU R$ 50,
28,"Estrada Campo da Areia, Pechincha",79 m²,,2,1,R$ 1.400 /mês,condomínio R$ 538,IPTU R$ 77,
29,"Rua Santa Cristina, Santa Teresa",70 m²,,2,1,R$ 1.800 /mês,condomínio R$ 650,IPTU R$ 85,
30,"Rua Macembu, Taquara",60 m²,1,2,1,R$ 1.000 /mês,condomínio R$ 650,IPTU R$ 93,
31,"Avenida Oswaldo Cruz, Flamengo",80 m²,2,1,1,R$ 3.500 /mês,condomínio R$ 754,IPTU R$ 197,
32,"Rua Professor Nehemias Gueiros, Recreio dos Bandeirantes",73 m²,2,2,2,R$ 1.700 /mês,condomínio R$ 847,IPTU R$ 165,
33,"Estrada dos Bandeirantes, Taquara",70 m²,2,2,2,R$ 1.600 /mês,condomínio R$ 750,IPTU R$ 65,
34,"Rua José Mindlin, Recreio dos Bandeirantes",81 m²,3,2,1,R$ 2.600 /mês,condomínio R$ 600,,
0,"Recreio dos Bandeirantes, Rio de Janeiro",80 m²,3,3,1,R$ 1.795 /mês,condomínio R$ 740,IPTU R$ 126,
1,"Rua Alfredo Ceschiatti, Barra da Tijuca",72 m²,2,3,1,R$ 2.100 /mês,condomínio R$ 1.393,IPTU R$ 164,
2,"Rua Tonelero, Copacabana",100 m²,1,2,1,R$ 2.500 /mês,condomínio R$ 1.122,IPTU R$ 282,
11,"Vila Isabel, Rio de Janeiro",50 m²,2,2,1,R$ 1.100 /mês,condomínio R$ 580,IPTU R$ 15,
12,"Estrada Adhemar Bebiano, Engenho da Rainha",70 m²,2,2,1,R$ 1.000 /mês,condomínio R$ 300,,
13,"Rua Retiro dos Artistas, Pechincha",64 m²,2,2,1,R$ 1.300 /mês,condomínio R$ 701,IPTU R$ 720,
14,"Rua Fábio Luz, Méier",80 m²,2,3,1,R$ 1.000 /mês,condomínio R$ 742,IPTU R$ 88,
15,"Rua Paissandu, Flamengo",46 m²,1,1,,R$ 1.950 /mês,condomínio R$ 550,IPTU R$ 109,
16,"Rua Professor Henrique Costa, Pechincha",55 m²,2,2,1,R$ 1.400 /mês,condomínio R$ 670,IPTU R$ 82,
17,"Rua Dias da Cruz, Méier",85 m²,1,2,1,R$ 1.600 /mês,condomínio R$ 900,IPTU R$ 144,
18,"Estrada da Gávea, São Conrado",166 m²,3,4,2,R$ 4.000 /mês,condomínio R$ 1.679,IPTU R$ 486,
19,"Rua São Brás, Todos os Santos",85 m²,2,3,1,R$ 1.310 /mês,condomínio R$ 510,IPTU R$ 155,
20,"Rua Eulina Ribeiro, Engenho de Dentro",50 m²,2,2,1,R$ 850 /mês,condomínio R$ 517,IPTU R$ 37,
21,"Rua Fortunato de Brito, Freguesia (Jacarepaguá)",68 m²,2,2,1,R$ 1.250 /mês,condomínio R$ 680,IPTU R$ 75,
22,"Rua Dois de Dezembro, Flamengo",48 m²,1,1,,R$ 3.250 /mês,condomínio R$ 550,IPTU R$ 55,
23,"Rua Luiz Beltrão, Vila Valqueire",75 m²,2,2,1,R$ 1.500 /mês,condomínio R$ 440,IPTU R$ 79,
24,"Rua Maria Calmon, Méier",152 m²,2,3,,R$ 1.500 /mês,IPTU R$ 137,,
25,"Rua Santa Alexandrina, Rio Comprido",70 m²,1,2,,R$ 1.500 /mês,condomínio R$ 400,,
26,"Rua Dias da Cruz, Méier",50 m²,1,2,1,R$ 1.300 /mês,condomínio R$ 624,IPTU R$ 55,
27,"Rua Visconde de Pirajá, Ipanema",38 m²,1,1,,R$ 2.000 /mês,condomínio R$ 635,IPTU R$ 108,
28,"Rua Cabo Moisés de Oliveira, Campo Grande",70 m²,1,2,1,R$ 1.200 /mês,condomínio R$ 250,,
29,"Rua Rita Ludolf, Leblon",53 m²,1,1,,R$ 3.200 /mês,condomínio R$ 450,IPTU R$ 279,
30,"Estrada do Rio Grande, Taquara",60 m²,2,2,1,R$ 1.800 /mês,condomínio R$ 357,,
32,"Estrada dos Três Rios, Freguesia (Jacarepaguá)",66 m²,1,2,1,R$ 1.550 /mês,condomínio R$ 685,IPTU R$ 100,
33,"Rua Santa Clara, Copacabana",32 m²,1,1,,R$ 1.400 /mês,condomínio R$ 402,IPTU R$ 69,
34,"Rua da Capela, Piedade",50 m²,2,2,1,R$ 850 /mês,condomínio R$ 310,IPTU R$ 60,
35,"Estrada dos Bandeirantes, Jacarepaguá",48 m²,1,2,1,R$ 700 /mês,condomínio R$ 361,IPTU R$ 54,
0,"Botafogo, Rio de Janeiro",77 m²,2,2,1,R$ 4.000 /mês,condomínio R$ 900,IPTU R$ 185,
1,"Rua Senador Vergueiro, Flamengo",86 m²,,2,,R$ 2.550 /mês,condomínio R$ 688,IPTU R$ 219,
2,"Rua Padre Manuel da Nóbrega, Quintino Bocaiúva",67 m²,1,2,2,R$ 1.200 /mês,condomínio R$ 407,IPTU R$ 10,
3,"Avenida Jaime Poggi, Jacarepaguá",80 m²,2,3,1,R$ 2.200 /mês,condomínio R$ 900,IPTU R$ 150,
4,"Rio de Janeiro, Rio de Janeiro",78 m²,2,3,1,R$ 3.000 /mês,condomínio R$ 900,IPTU R$ 100,
5,"Rua Severino Ferreira da Costa, Campo Grande",65 m²,1,2,,R$ 850 /mês,condomínio R$ 250,,
6,"Estrada do Monteiro, Campo Grande",55 m²,2,2,1,R$ 940 /mês,condomínio R$ 590,IPTU R$ 36,
7,"Rua Wilfred Penha Borges, Recreio dos Bandeirantes",64 m²,,2,1,R$ 2.200 /mês,condomínio R$ 520,,
8,"Rua Barão da Torre, Ipanema",170 m²,5,3,1,R$ 10.000 /mês,condomínio R$ 1.700,IPTU R$ 630,
9,"Rua Desembargador Paulo Alonso, Recreio dos Bandeirantes",116 m²,3,2,2,R$ 1.700 /mês,condomínio R$ 623,IPTU R$ 199,
10,"Rua José Bonifácio, Todos os Santos",58 m²,2,1,1,R$ 1.200 /mês,condomínio R$ 425,IPTU R$ 53,
11,"Rua Torres Homem, Vila Isabel",68 m²,1,2,1,R$ 1.600 /mês,condomínio R$ 536,,
12,"Rua Abadiana, Curicica",50 m²,1,1,1,R$ 1.100 /mês,condomínio R$ 550,IPTU R$ 35,
13,"Rua Francisco Muratori, Santa Teresa",54 m²,1,2,,R$ 1.700 /mês,condomínio R$ 485,IPTU R$ 52,
14,"Rua Barra Bonita, Jacarepaguá",76 m²,1,2,2,R$ 2.100 /mês,condomínio R$ 934,IPTU R$ 176,
15,"Avenida Monsenhor Félix, Váz Lobo",60 m²,1,2,1,R$ 1.200 /mês,condomínio R$ 330,IPTU R$ 8,
16,"Rua General Venâncio Flores, Leblon",100 m²,3,3,1,R$ 5.500 /mês,condomínio R$ 1.477,IPTU R$ 460,
17,"Rua José Linhares, Leblon",140 m²,2,3,1,R$ 7.000 /mês,condomínio R$ 2.800,IPTU R$ 800,
18,"Rua Laura Teles, Tanque",60 m²,1,1,1,R$ 800 /mês,condomínio R$ 600,IPTU R$ 168,
19,"Rua Mamoré, Freguesia (Jacarepaguá)",90 m²,,2,1,R$ 1.500 /mês,condomínio R$ 680,IPTU R$ 220,
20,"Avenida Nossa Senhora de Copacabana, Copacabana",39 m²,1,1,,R$ 1.700 /mês,condomínio R$ 600,IPTU R$ 102,
21,"Avenida Dom Hélder Câmara, Engenho de Dentro",85 m²,2,3,2,R$ 2.800 /mês,condomínio R$ 700,IPTU R$ 122,
22,"Rua Professor Taciel Cylleno, Recreio dos Bandeirantes",100 m²,2,2,2,R$ 2.550 /mês,condomínio R$ 950,IPTU R$ 200,
23,"Rua Luiz Iglesias, Recreio dos Bandeirantes",80 m²,3,2,1,R$ 1.500 /mês,condomínio R$ 924,IPTU R$ 122,
24,"Avenida Pastor Martin Luther King Jr, Vicente de Carvalho",50 m²,1,2,1,R$ 1.000 /mês,condomínio R$ 400,,
25,"Rua General Dionísio, Botafogo",71 m²,1,2,1,R$ 3.500 /mês,condomínio R$ 840,IPTU R$ 185,
26,"Rua Constante Ramos, Copacabana",70 m²,2,2,1,R$ 2.800 /mês,condomínio R$ 929,,
28,"Estrada Capenha, Pechincha",92 m²,2,2,1,R$ 1.300 /mês,condomínio R$ 650,IPTU R$ 550,
29,"Rua Joaquim Palhares, Estácio",42 m²,1,1,1,R$ 1.300 /mês,condomínio R$ 219,,
30,"Avenida Ernani Cardoso, Cascadura",160 m²,1,2,1,R$ 1.950 /mês,condomínio R$ 80,IPTU R$ 75,
31,"Rua Macunaíma, Vaz Lobo",85 m²,2,3,1,R$ 1.210 /mês,condomínio R$ 330,IPTU R$ 48,
32,"Rua Almirante Baltazar, São Cristóvão",70 m²,1,2,1,R$ 1.900 /mês,condomínio R$ 730,IPTU R$ 105,
33,"Rua Voluntários da Pátria, Botafogo",52 m²,1,1,1,R$ 3.200 /mês,condomínio R$ 701,IPTU R$ 119,
34,"Rua Joaquim Pinheiro, Freguesia (Jacarepaguá)",95 m²,3,2,2,R$ 2.500 /mês,condomínio R$ 850,IPTU R$ 149,
35,"Rua Ronald de Carvalho, Copacabana",80 m²,2,1,,R$ 5.400 /mês,condomínio R$ 512,IPTU R$ 245,
0,"Rua Barão da Torre, Ipanema",,,3,,R$ 5.000 /mês,condomínio R$ 1.225,IPTU R$ 347,3
1,"Avenida José Luiz Ferraz, Recreio dos Bandeirantes",,,2,,R$ 1.800 /mês,condomínio R$ 1.000,IPTU R$ 185,2
2,"Rua Padre Francisco Lanna, Vila Isabel",,,1,,R$ 1.000 /mês,condomínio R$ 460,,1
3,"Rua Luiz Iglesias, Recreio dos Bandeirantes",,,2,,R$ 1.500 /mês,condomínio R$ 924,IPTU R$ 122,3
4,"Avenida Pastor Martin Luther King Jr, Vicente de Carvalho",,,2,,R$ 1.000 /mês,condomínio R$ 400,,1
5,"Rua General Dionísio, Botafogo",,,2,,R$ 3.500 /mês,condomínio R$ 840,IPTU R$ 185,1
6,"Rua Constante Ramos, Copacabana",,,2,,R$ 2.800 /mês,condomínio R$ 929,,2
7,"Avenida Malibu, Barra da Tijuca",,,1,,R$ 2.350 /mês,,,1
8,"Estrada Capenha, Pechincha",,,2,,R$ 1.300 /mês,condomínio R$ 650,IPTU R$ 550,2
9,"Rua Joaquim Palhares, Estácio",,,1,,R$ 1.300 /mês,condomínio R$ 219,,1
10,"Avenida Ernani Cardoso, Cascadura",,,2,,R$ 1.950 /mês,condomínio R$ 80,IPTU R$ 75,1
11,"Rua Macunaíma, Vaz Lobo",,,3,,R$ 1.210 /mês,condomínio R$ 330,IPTU R$ 48,2
12,"Rua Almirante Baltazar, São Cristóvão",,,2,,R$ 1.900 /mês,condomínio R$ 730,IPTU R$ 105,1
13,"Rua Voluntários da Pátria, Botafogo",,,1,,R$ 3.200 /mês,condomínio R$ 701,IPTU R$ 119,1
14,"Rua Joaquim Pinheiro, Freguesia (Jacarepaguá)",,,2,,R$ 2.500 /mês,condomínio R$ 850,IPTU R$ 149,3
15,"Rua Ronald de Carvalho, Copacabana",,,1,,R$ 5.400 /mês,condomínio R$ 512,IPTU R$ 245,2
16,"Rua Aroazes, Jacarepaguá",,,2,,R$ 1.600 /mês,condomínio R$ 710,IPTU R$ 137,2
17,"Rua Murilo de Araújo, Recreio dos Bandeirantes",,,4,,R$ 4.000 /mês,condomínio R$ 1.153,IPTU R$ 472,6
18,"Avenida Di Cavalcanti, Barra da Tijuca",,,2,,R$ 2.200 /mês,condomínio R$ 800,IPTU R$ 172,2
19,"Rua Samuel Guimarães, São Francisco Xavier",,,3,,R$ 989 /mês,condomínio R$ 348,IPTU R$ 42,1
20,"Curicica, Rio de Janeiro",,,2,,R$ 1.300 /mês,condomínio R$ 150,IPTU R$ 13,1
21,"Praça da República, Centro",,,2,,R$ 1.200 /mês,condomínio R$ 579,IPTU R$ 62,1
22,"Rua Baronesa do Engenho Novo, Engenho Novo",,,2,,R$ 1.200 /mês,condomínio R$ 256,IPTU R$ 45,1
23,"Rua Florianópolis, Praça Seca",,,3,,R$ 1.000 /mês,condomínio R$ 560,IPTU R$ 31,2
24,"Avenida Geremário Dantas, Pechincha",,,2,,R$ 1.100 /mês,condomínio R$ 400,IPTU R$ 38,1
25,"Avenida Nossa Senhora de Copacabana, Leme",,,2,,R$ 3.500 /mês,condomínio R$ 750,IPTU R$ 198,2
26,"Barra da Tijuca, Rio de Janeiro",,,3,,R$ 5.700 /mês,condomínio R$ 1.142,IPTU R$ 410,3
27,"Rua Comendador Martinelli, Grajaú",,,2,,R$ 1.100 /mês,condomínio R$ 573,IPTU R$ 25,1
28,"Rua Senador Muniz Freire, Vila Isabel",,,2,,R$ 1.800 /mês,condomínio R$ 925,IPTU R$ 100,3
29,"Rua Siqueira Campos, Copacabana",,,2,,R$ 2.400 /mês,condomínio R$ 600,IPTU R$ 180,2
30,"Avenida Marechal Rondon, São Francisco Xavier",,,2,,R$ 1.300 /mês,condomínio R$ 560,,1
31,"Rua Djalma Ulrich, Copacabana",,,1,,R$ 2.200 /mês,condomínio R$ 792,IPTU R$ 99,2
32,"Avenida Brasil, Brás de Pina",,,2,,R$ 850 /mês,condomínio R$ 80,,1
33,"Praia Botafogo, Botafogo",,,1,,R$ 1.300 /mês,condomínio R$ 498,IPTU R$ 55,1
34,"Rua Xingú, Jacarepaguá",,,2,,R$ 1.399 /mês,condomínio R$ 830,,3
35,"Rua General Roca, Tijuca",,,2,,R$ 1.300 /mês,condomínio R$ 675,IPTU R$ 62,1
0,"Boulevard Vinte e Oito de Setembro, Vila Isabel",,,2,,R$ 2.200 /mês,condomínio R$ 710,IPTU R$ 90,1
1,"Rua Conde de Irajá, Botafogo",,,2,,R$ 8.000 /mês,condomínio R$ 1.000,IPTU R$ 380,3
2,"Avenida Vice-Presidente José Alencar, Jacarepaguá",,,2,,R$ 2.300 /mês,condomínio R$ 1.250,IPTU R$ 156,2
3,"Rua Abadiana, Curicica",,,2,,R$ 1.250 /mês,condomínio R$ 600,,55 m²
4,"Rua do Bispo, Rio Comprido",,,1,,R$ 2.200 /mês,condomínio R$ 906,IPTU R$ 93,1
5,"Rua Barata Ribeiro, Copacabana",,,2,,R$ 2.000 /mês,condomínio R$ 741,IPTU R$ 164,1
6,"Avenida Ataulfo de Paiva, Leblon",,,1,,R$ 3.000 /mês,condomínio R$ 775,IPTU R$ 152,1
7,"Estrada dos Bandeirantes, Vargem Pequena",,,2,,R$ 1.200 /mês,condomínio R$ 402,IPTU R$ 180,1
8,"Rua Visconde de Abaeté, Vila Isabel",,,1,,R$ 1.650 /mês,condomínio R$ 155,IPTU R$ 80,1
9,"Rua Haddock Lobo, Tijuca",,,1,,R$ 1.500 /mês,condomínio R$ 620,IPTU R$ 70,1
10,"Rua Prudente de Morais, Ipanema",,,2,,R$ 10.000 /mês,condomínio R$ 4.900,IPTU R$ 6.987,3
11,"Campo Grande, Rio de Janeiro",,,2,,R$ 900 /mês,,,1
12,"Rua Getúlio, Todos os Santos",,,3,,R$ 960 /mês,condomínio R$ 285,IPTU R$ 48,1
13,"Rua Salvador Pires, Méier",,,1,,R$ 800 /mês,condomínio R$ 544,IPTU R$ 55,1
14,"Avenida Prefeito Mendes de Morais, São Conrado",,,5,,R$ 15.000 /mês,condomínio R$ 8.160,IPTU R$ 3.000,6
15,"Rua Almirante Tamandaré, Flamengo",,,3,,R$ 3.500 /mês,condomínio R$ 765,IPTU R$ 224,1
16,"Avenida Borges de Medeiros, Leblon",,,3,,R$ 14.000 /mês,condomínio R$ 3.600,IPTU R$ 1.800,6
17,"Avenida das Américas, Barra da Tijuca",,,2,,R$ 1.900 /mês,condomínio R$ 2.172,IPTU R$ 286,1
18,"Estrada Adhemar Bebiano, Del Castilho",,,2,,R$ 1.080 /mês,condomínio R$ 327,IPTU R$ 19,1
19,"Avenida Lúcio Costa, Barra da Tijuca",,,2,,R$ 10.000 /mês,condomínio R$ 2.799,IPTU R$ 930,3
20,"Avenida Rodolfo Amoedo, Barra da Tijuca",,,3,,R$ 5.900 /mês,condomínio R$ 1.750,IPTU R$ 3.421,2
21,"Barra da Tijuca, Rio de Janeiro",,,4,,R$ 3.800 /mês,condomínio R$ 2.430,IPTU R$ 620,4
22,"Rua Teotônio de Brito, Olaria",,,2,,R$ 1.000 /mês,condomínio R$ 270,IPTU R$ 93,1
23,"Rua Joaquim Palhares, Estácio",,,3,,R$ 2.200 /mês,condomínio R$ 450,IPTU R$ 36,2
24,"Rua do Catete, Catete",,,2,,R$ 2.500 /mês,condomínio R$ 1.927,IPTU R$ 205,2
25,"Avenida Guilherme de Almeida, Recreio dos Bandeirantes",,,2,,R$ 1.500 /mês,condomínio R$ 700,IPTU R$ 162,2
26,"Rua João Líra, Leblon",,,3,,R$ 10.000 /mês,condomínio R$ 1.360,IPTU R$ 568,3
27,"Rua Doutor Noguchi, Ramos",,,2,,R$ 850 /mês,condomínio R$ 285,IPTU R$ 42,1
28,"Avenida Djalma Ribeiro, Recreio dos Bandeirantes",,,2,,R$ 1.600 /mês,condomínio R$ 1.173,IPTU R$ 167,2
29,"Avenida Ataulfo de Paiva, Leblon",,,2,,R$ 3.300 /mês,condomínio R$ 935,IPTU R$ 242,2
30,"Rua Paula Freitas, Copacabana",,,3,,R$ 4.300 /mês,condomínio R$ 1.600,IPTU R$ 500,4
31,"Rua Barro Alto, Taquara",,,1,,R$ 800 /mês,condomínio R$ 100,IPTU R$ 11,1
32,"Recreio dos Bandeirantes, Rio de Janeiro",,,3,,R$ 2.600 /mês,condomínio R$ 1.020,IPTU R$ 220,2
33,"Rua Cardeal Dom Sebastião Leme, Santa Teresa",,,1,,R$ 1.800 /mês,condomínio R$ 300,IPTU R$ 30,1
34,"Rua Laura Teles, Tanque",,,1,,R$ 800 /mês,condomínio R$ 600,IPTU R$ 168,1
35,"Avenida Renê Laclette, Recreio dos Bandeirantes",,,3,,R$ 3.500 /mês,condomínio R$ 1.315,IPTU R$ 252,4
0,"Avenida Vieira Souto, Ipanema",433 m²,1,4,3,R$ 38.000 /mês,condomínio R$ 10.520,IPTU R$ 4.517,
1,"Rua Almirante Cochrane, Tijuca",147 m²,1,3,2,R$ 1.600 /mês,condomínio R$ 1.580,IPTU R$ 371,
2,"Avenida Lúcio Costa, Barra da Tijuca",140 m²,3,2,2,R$ 7.500 /mês,condomínio R$ 1.441,IPTU R$ 983,
3,"Rua Mena Barreto, Botafogo",82 m²,1,2,1,R$ 2.100 /mês,condomínio R$ 1.430,IPTU R$ 215,
4,"Praia do Flamengo, Flamengo",265 m²,2,4,1,R$ 5.300 /mês,condomínio R$ 1.500,IPTU R$ 886,
5,"Rua Almirante Ary Rongel, Recreio dos Bandeirantes",100 m²,3,3,2,R$ 2.000 /mês,condomínio R$ 1.200,IPTU R$ 250,
6,"Rua Vinte e Quatro de Maio, Engenho Novo",40 m²,1,1,1,R$ 900 /mês,condomínio R$ 456,,
7,"Avenida Flamboyants da Península, Barra da Tijuca",403 m²,3,4,3,R$ 16.000 /mês,condomínio R$ 4.278,IPTU R$ 1.241,
8,"Avenida Flamboyants da Península, Barra da Tijuca",74 m²,2,2,1,R$ 2.500 /mês,condomínio R$ 1.330,IPTU R$ 247,
9,"Avenida Atlântica, Copacabana",160 m²,4,3,1,R$ 15.500 /mês,condomínio R$ 1.810,IPTU R$ 738,
10,"Rua Rodolfo Dantas, Copacabana",180 m²,3,4,1,R$ 6.000 /mês,condomínio R$ 990,IPTU R$ 230,
11,"Rua Professor Henrique Costa, Pechincha",60 m²,,2,1,R$ 1.500 /mês,condomínio R$ 490,IPTU R$ 92,
12,"Rua Ituverava, Freguesia de Jacarepaguá",77 m²,5,3,2,R$ 2.100 /mês,condomínio R$ 695,IPTU R$ 138,
13,"Rua Barão de Mesquita, Tijuca",73 m²,2,2,1,R$ 1.800 /mês,condomínio R$ 730,IPTU R$ 70,
14,"Rua Voluntários da Pátria, Botafogo",115 m²,1,3,1,R$ 2.600 /mês,condomínio R$ 970,IPTU R$ 165,
15,"Rua Pinheiro Machado, Laranjeiras",98 m²,3,3,2,R$ 900.000 /mês,condomínio R$ 22.212.222,IPTU R$ 22.222.222,
16,"Rua Mapendi, Taquara",70 m²,2,2,1,R$ 950 /mês,condomínio R$ 535,IPTU R$ 85,
17,"Rua Igarapava, Leblon",140 m²,2,3,1,R$ 6.500 /mês,condomínio R$ 1.250,IPTU R$ 450,
18,"Rua Barão de Jaguaripe, Ipanema",138 m²,2,2,1,R$ 5.600 /mês,condomínio R$ 2.000,IPTU R$ 740,
19,"Avenida Visconde de Albuquerque, Leblon",150 m²,3,4,1,R$ 11.000 /mês,condomínio R$ 2.000,IPTU R$ 720,
20,"Rua Vinte e Quatro de Maio, Engenho Novo",42 m²,1,1,1,R$ 900 /mês,condomínio R$ 456,,
21,"Rua do Engenho Novo, Sampaio",35 m²,1,1,,R$ 800 /mês,condomínio R$ 75,IPTU R$ 16,
22,"Rua Joaquim Nabuco, Copacabana",50 m²,1,1,,R$ 2.950 /mês,condomínio R$ 860,IPTU R$ 170,
23,"Avenida Lúcio Costa, Barra da Tijuca",220 m²,3,3,2,R$ 15.000 /mês,,,
24,"Rua do Humaitá, Humaitá",70 m²,1,2,1,R$ 3.200 /mês,condomínio R$ 1.400,IPTU R$ 163,
25,"Rua Heráclito Graça, Lins de Vasconcelos",60 m²,1,2,1,R$ 650 /mês,condomínio R$ 274,IPTU R$ 16,
26,"Avenida Prefeito Dulcídio Cardoso, Barra da Tijuca",96 m²,3,2,1,R$ 2.700 /mês,condomínio R$ 1.545,IPTU R$ 265,
27,"Rua Demosthenes Madureira de Pinho, Recreio dos Bandeirantes",178 m²,3,4,3,R$ 3.500 /mês,condomínio R$ 1.800,IPTU R$ 4.340,
28,"Rua Souza Lima, Copacabana",103 m²,2,2,2,R$ 3.200 /mês,condomínio R$ 1.265,IPTU R$ 335,
29,"São Conrado, Rio de Janeiro",340 m²,3,3,2,R$ 21.000 /mês,condomínio R$ 5.500,IPTU R$ 2.600,
30,"Avenida das Américas, Barra da Tijuca",296 m²,,4,3,R$ 17.000 /mês,condomínio R$ 4.300,,
31,"Avenida Lúcio Costa, Barra da Tijuca",130 m²,3,4,2,R$ 7.500 /mês,condomínio R$ 3.000,IPTU R$ 417,
32,"Rua Vicente de Sousa, Botafogo",120 m²,3,3,1,R$ 3.500 /mês,condomínio R$ 1.540,IPTU R$ 373,
33,"Avenida Francisco Bhering, Ipanema",178 m²,,2,1,R$ 19.000 /mês,condomínio R$ 2.810,IPTU R$ 1.770,
34,"Recreio dos Bandeirantes, Rio de Janeiro",190 m²,2,3,2,R$ 3.000 /mês,condomínio R$ 780,IPTU R$ 542,
35,"Rua Franz Weissman, Jacarepaguá",160 m²,2,2,1,R$ 2.500 /mês,condomínio R$ 1.250,IPTU R$ 80,
0,"Avenida Malibu, Barra da Tijuca",,,2,,R$ 2.300 /mês,condomínio R$ 1.300,IPTU R$ 238,1
1,"Avenida Malibu, Barra da Tijuca",,,4,,R$ 8.000 /mês,condomínio R$ 3.400,,6
3,"Avenida Atlântica, Copacabana",,,4,,R$ 8.000 /mês,condomínio R$ 4.016,IPTU R$ 1.631,2
4,"Rua Prudente de Morais, Ipanema",,,2,,R$ 11.000 /mês,condomínio R$ 3.499,IPTU R$ 769,2
