,address,areas,bathrooms,bedrooms,parking-spaces,price,price-item-0,price-item-1,
20,"Rua Carlos da Rocha Faria, Jardim Botânico",96 m²,2,2,1,R$ 6.800 /mês,condomínio R$ 1.900,IPTU R$ 268,
21,"Avenida Flamboyants da Península, Barra da Tijuca",75 m²,2,2,1,R$ 2.500 /mês,condomínio R$ 1.330,IPTU R$ 247,
22,"Rua Maria Angélica, Jardim Botânico",80 m²,3,2,1,R$ 2.500 /mês,condomínio R$ 1.465,IPTU R$ 314,
23,"Rua Ituverava, Freguesia de Jacarepaguá",154 m²,1,3,3,R$ 3.000 /mês,condomínio R$ 840,IPTU R$ 571,
24,"Rua Barão de Iguatemi, Tijuca",63 m²,2,2,,R$ 1.200 /mês,condomínio R$ 1.014,IPTU R$ 51,
25,"Rua Ovídio Cavalleiro, Recreio dos Bandeirantes",160 m²,1,3,2,R$ 2.950 /mês,condomínio R$ 780,IPTU R$ 350,
26,"Estrada dos Três Rios, Jacarepaguá",45 m²,1,1,1,R$ 900 /mês,condomínio R$ 495,IPTU R$ 46,
27,"Avenida Ayrton Senna, Barra da Tijuca",63 m²,1,1,1,R$ 1.700 /mês,condomínio R$ 1.195,IPTU R$ 228,
28,"Rua Joana Angélica, Ipanema",100 m²,,2,1,R$ 7.000 /mês,condomínio R$ 2.341,IPTU R$ 640,
29,"Rua Bispo Lacerda, Del Castilho",53 m²,2,2,1,R$ 2.200 /mês,condomínio R$ 600,IPTU R$ 34,
30,"Rua Fonte da Saudade, Lagoa",117 m²,2,3,2,R$ 7.200 /mês,condomínio R$ 1.600,IPTU R$ 382,
31,"Rua Conde de Irajá, Botafogo",107 m²,3,3,2,R$ 4.300 /mês,condomínio R$ 1.500,,
32,"Rua Pedro Domingues, Encantado",42 m²,1,1,1,R$ 590 /mês,condomínio R$ 450,IPTU R$ 13,
33,"Rua do Fialho, Glória",26 m²,1,1,,R$ 1.050 /mês,condomínio R$ 430,IPTU R$ 25,
34,"Rua Omar Bandeira Ramidan Sobrinho, Recreio dos Bandeirantes",124 m²,4,3,1,R$ 2.810 /mês,condomínio R$ 885,IPTU R$ 220,
35,"Praça Augusto Ruschi, Recreio dos Bandeirantes",82 m²,3,3,2,R$ 1.700 /mês,condomínio R$ 560,IPTU R$ 204,
0,"Rua Carlos Gois, Leblon",91 m²,2,3,1,R$ 5.000 /mês,condomínio R$ 1.392,IPTU R$ 381,
2,"Avenida Atlântica, Copacabana",128 m²,2,3,1,R$ 5.900 /mês,condomínio R$ 1.571,IPTU R$ 612,
3,"Rua Cardeal Dom Sebastião Leme, Santa Teresa",65 m²,1,1,,R$ 2.200 /mês,condomínio R$ 350,IPTU R$ 30,
4,"Rua Jerônimo Monteiro, Leblon",70 m²,1,2,1,R$ 4.200 /mês,condomínio R$ 1.200,IPTU R$ 3.100,
5,"Rua Sacopa, Lagoa",160 m²,2,2,2,R$ 7.500 /mês,condomínio R$ 2.400,IPTU R$ 250,
6,"Avenida Pasteur, Botafogo",60 m²,1,2,1,R$ 2.000 /mês,condomínio R$ 986,IPTU R$ 116,
7,"Rua Barão de Mesquita, Tijuca",70 m²,2,1,,R$ 1.800 /mês,condomínio R$ 700,IPTU R$ 569,
8,"Avenida das Américas, Recreio dos Bandeirantes",69 m²,2,2,1,R$ 1.850 /mês,condomínio R$ 992,IPTU R$ 189,
9,"Rua Surui, Braz de Pina",50 m²,1,2,,R$ 900 /mês,condomínio R$ 120,,
10,"Rua Campinas, Grajaú",136 m²,3,3,2,R$ 2.000 /mês,condomínio R$ 1.187,IPTU R$ 223,
11,"Avenida Vice-Presidente José Alencar, Jacarepaguá",150 m²,2,4,2,R$ 4.000 /mês,condomínio R$ 2.338,IPTU R$ 373,
12,"Rua Dezoito de Outubro, Tijuca",70 m²,2,2,,R$ 1.300 /mês,condomínio R$ 620,IPTU R$ 63,
13,"Rua Grão Pará, Engenho Novo",60 m²,,2,1,R$ 1.300 /mês,condomínio R$ 490,,
14,"Rua Uruguai, Tijuca",100 m²,1,3,,R$ 1.600 /mês,condomínio R$ 604,IPTU R$ 98,
15,"Rua José Linhares, Leblon",606 m²,6,4,3,R$ 60.000 /mês,condomínio R$ 6.180,IPTU R$ 4.700,
16,"Rua de Santana, Centro",57 m²,1,1,,R$ 1.500 /mês,condomínio R$ 430,IPTU R$ 54,
17,"Rua Joaquim Silva, Centro",41 m²,1,1,,R$ 1.100 /mês,condomínio R$ 500,IPTU R$ 28,
18,"Rua Mário Agostinelli, Jacarepaguá",200 m²,4,3,2,R$ 4.500 /mês,condomínio R$ 2.166,IPTU R$ 400,
19,"Rua Santa Clara, Copacabana",54 m²,,2,,R$ 2.200 /mês,condomínio R$ 589,IPTU R$ 105,
20,"Rua Engenheiro Morsing, Grajaú",28 m²,1,1,,R$ 750 /mês,,,
21,"Rua Doutor Renato Rocco, Tijuca",104 m²,1,2,1,R$ 1.650 /mês,condomínio R$ 1.484,IPTU R$ 181,
22,"Rua Carlos Gois, Leblon",40 m²,1,1,,R$ 2.800 /mês,condomínio R$ 700,IPTU R$ 100,
23,"Rua Amilcar de Castro, Jacarepaguá",77 m²,,2,,R$ 1.700 /mês,condomínio R$ 1.530,IPTU R$ 154,
24,"Rua Paulo Barreto, Botafogo",79 m²,2,2,1,R$ 3.250 /mês,condomínio R$ 900,IPTU R$ 134,
25,"Avenida Vieira Souto, Ipanema",100 m²,3,2,1,R$ 13.000 /mês,condomínio R$ 4.128,IPTU R$ 1.628,
26,"Avenida Vieira Souto, Ipanema",400 m²,1,3,2,R$ 25.000 /mês,condomínio R$ 7.200,IPTU R$ 3.300,
27,"Rua Jacarandás da Península, Barra da Tijuca",160 m²,5,3,2,R$ 6.500 /mês,condomínio R$ 2.500,IPTU R$ 500,
28,"Rua Marquês de Pinedo, Laranjeiras",88 m²,2,2,1,R$ 2.800 /mês,condomínio R$ 913,,
29,"Rua Lópes Quintas, Jardim Botânico",97 m²,2,3,1,R$ 2.980 /mês,condomínio R$ 875,IPTU R$ 370,
30,"Estrada dos Bandeirantes, Jacarepaguá",48 m²,1,2,1,R$ 1.500 /mês,condomínio R$ 590,IPTU R$ 8,
31,"Avenida Lúcio Costa, Barra da Tijuca",198 m²,2,4,2,R$ 6.000 /mês,condomínio R$ 2.500,IPTU R$ 990,
