address,areas,bathrooms,bedrooms,parking-spaces,zap_price_pmo,zap_price_cls,zap_price_iptu,latitude,longitude,street,neighborhood,r$_pmo,usd_pmo
"Rua Tonelero, Copacabana",160 m²,3.0,4.0,1.0,R$ 4.200 /mês,condomínio R$ 1.574,IPTU R$ 477,-22.9690461,-43.18946629999999,Rua Tonelero, Copacabana,4200,976.27
"Rua Santo Amaro, Glória",45 m²,1.0,2.0,,R$ 1.700 /mês,condomínio R$ 462,IPTU R$ 74,-22.9218349,-43.1782298,Rua Santo Amaro, Glória,1700,395.16
"Avenida Vieira Souto, Ipanema",350 m²,,4.0,2.0,R$ 50.000 /mês,condomínio R$ 7.000,IPTU R$ 3.000,-22.9862375,-43.209178200000004,Avenida Vieira Souto, Ipanema,50000,11622.3
"Rua Visconde de Pirajá, Ipanema",35 m²,1.0,1.0,,R$ 2.699 /mês,condomínio R$ 430,IPTU R$ 119,-22.9847565,-43.19540679999999,Rua Visconde de Pirajá, Ipanema,2699,627.37
"Rua Humberto de Campos, Leblon",273 m²,4.0,4.0,2.0,R$ 13.000 /mês,condomínio R$ 2.800,IPTU R$ 632,-22.9821181,-43.2140392,Rua Humberto de Campos, Leblon,13000,3021.8
"Rua Joaquim Pinheiro, Freguesia (Jacarepaguá)",73 m²,1.0,2.0,1.0,R$ 1.300 /mês,condomínio R$ 712,IPTU R$ 82,-22.9333806,-43.3347821,Rua Joaquim Pinheiro, Freguesia (Jacarepaguá),1300,302.18
"Rua Jaçanã, Irajá",70 m²,1.0,1.0,,R$ 860 /mês,condomínio R$ 240,,-22.8293647,-43.3294086,Rua Jaçanã, Irajá,860,199.9
"Rua Raul Pompéia, Copacabana",230 m²,2.0,3.0,1.0,R$ 4.300 /mês,,,-22.9859524,-43.1911156,Rua Raul Pompéia, Copacabana,4300,999.52
"Rua Doutor Satamini, Tijuca",166 m²,3.0,3.0,2.0,R$ 3.500 /mês,condomínio R$ 1.900,IPTU R$ 3.900,-22.9207621,-43.222878,Rua Doutor Satamini, Tijuca,3500,813.56
"Rua Conde de Bonfim, Tijuca",120 m²,3.0,3.0,1.0,R$ 1.900 /mês,condomínio R$ 970,IPTU R$ 115,-22.9279379,-43.236188,Rua Conde de Bonfim, Tijuca,1900,441.65
"Rua Raul Pompéia, Copacabana",34 m²,1.0,1.0,,R$ 1.700 /mês,condomínio R$ 555,IPTU R$ 94,-22.9859524,-43.1911156,Rua Raul Pompéia, Copacabana,1700,395.16
"Rua Pio Correia, Jardim Botânico",79 m²,3.0,2.0,1.0,R$ 3.300 /mês,condomínio R$ 950,IPTU R$ 2.500,-22.959020300000002,-43.2035583,Rua Pio Correia, Jardim Botânico,3300,767.07
"Rua das Laranjeiras, Laranjeiras",30 m²,1.0,1.0,,R$ 990 /mês,condomínio R$ 503,IPTU R$ 30,-22.9323641,-43.1821872,Rua das Laranjeiras, Laranjeiras,990,230.12
"Estrada Capenha, Pechincha",50 m²,2.0,3.0,1.0,R$ 1.100 /mês,condomínio R$ 764,IPTU R$ 84,-22.935018499999998,-43.3515126,Estrada Capenha, Pechincha,1100,255.69
"Rua Amilcar de Castro, Jacarepaguá",96 m²,,3.0,1.0,R$ 2.600 /mês,condomínio R$ 1.404,IPTU R$ 234,-22.9691174,-43.385907399999994,Rua Amilcar de Castro, Jacarepaguá,2600,604.36
"Rua Jitauna, Penha Circular",96 m²,1.0,3.0,1.0,R$ 1.100 /mês,condomínio R$ 250,,-22.8376944,-43.289031200000004,Rua Jitauna, Penha Circular,1100,255.69
