price,title,furnishing,tenants preferred,bathroom,availability,latitude,longitude,balcony,floor,facing,overlooking,car parking,owner resides,curr_mark,hasLac,inr_pmo,usd_pmo
"₹ 6,000","1 BHK Apartment for rent in Sunrise Homes Apartments, Upparpally, Hyderabad Expressway",,,,,,,,,,,,,₹,False,6000.0,84.13
"₹ 24,500","2 BHK Apartment for rent in Gachibowli, Outer Ring Road 1650 sqft",Unfurnished,Bachelors,2,Immediately,12.9494824,77.5226539,1,4 out of 4 Floors,North - East,Main Road,,,₹,False,24500.0,343.54
"₹ 9,500",2 BHK House for rent in Patelguda 1250 sqft,Semi-Furnished,Bachelors,2,Immediately,17.54598617553711,78.2869644165039,,Ground out of 1 Floor,East,"Garden/Park, Main Road",,,₹,False,9500.0,133.21
"₹ 36,000","3 BHK Apartment for rent in Prajay City, Hafeezpet 1485 sqft",Semi-Furnished,Bachelors/Family,3,Immediately,,,,7 out of 20 Floors,,,,,₹,False,36000.0,504.79
"₹ 12,000",2 BHK Apartment for rent in Sai Shashank Residency 1150 sqft,Unfurnished,Bachelors,2,Immediately,,,1,4 out of 5 Floors,,,,,₹,False,12000.0,168.26
"₹ 8,500",2 BHK House for rent in Dammaiguda 1250 sqft,Unfurnished,Bachelors/Family,2,Immediately,17.5038613,78.5913259,,Ground out of 1 Floor,,,,,₹,False,8500.0,119.19
"₹ 10,000",3 BHK House for rent in Bhanoor 1700 sqft,Unfurnished,Bachelors/Family,3,Immediately,18.482120513916016,78.69385528564453,,1 out of 1 Floor,North,,,,₹,False,10000.0,140.22
"₹ 37,000",3 BHK Apartment for rent in Nanakramguda 1600 sqft,Furnished,Bachelors/Family,3,Immediately,17.4258278,78.3405519,,1 out of 4 Floors,,,,,₹,False,37000.0,518.81
"₹ 24,000","3 BHK Apartment for rent in Chitrapuri Colony, Manikonda, Outer Ring Road 1800 sqft",,,,,17.41673666666667,78.37749166666667,,,,,,,₹,False,24000.0,336.53
"₹ 20,000",3 BHK Apartment for rent in elipsblossom heights Gachibowli 2400 sqft,Semi-Furnished,Bachelors/Family,3,Immediately,,,,5 out of 6 Floors,,,,,₹,False,20000.0,280.44
"₹ 10,000","1 BHK Apartment for rent in Shanti Bagh Apartments, Begumpet",,,,,,,,,,,,,₹,False,10000.0,140.22
"₹ 15,000","2 BHK House for rent in Hyder Nagar, NH 9 1500 sqft",Unfurnished,Bachelors/Family,2,Immediately,11.9249106,79.8304047,,2 out of 3 Floors,,,,,₹,False,15000.0,210.33
"₹ 45,000","3 BHK Builder Floor for rent in Banjara Hills, NH 9 2500 sqft",Furnished,Bachelors,3,Immediately,17.415895462036133,78.43576049804688,2,3 out of 6 Floors,East,"Pool, Garden/Park, Main Road",,,₹,False,45000.0,630.99
"₹ 25,000","2 BHK Builder Floor for rent in Lakdikapul, NH 9 1750 sqft",Unfurnished,Bachelors,1,Immediately,17.4033558,78.4635176,,2 out of 4 Floors,,,10 Open,,₹,False,25000.0,350.55
"₹ 18,000","2 BHK Builder Floor for rent in Padmanabha Nagar, Mehdipatnam 1100 sqft",Semi-Furnished,Bachelors/Family,2,Immediately,,,1,2 out of 2 Floors,East,,,,₹,False,18000.0,252.4
"₹ 15,500","3 BHK Apartment for rent in Tellapur, Outer Ring Road 1800 sqft",Semi-Furnished,Bachelors/Family,2,Immediately,,,,6 out of 10 Floors,,,,,₹,False,15500.0,217.34
"₹ 9,000",2 BHK House for rent in Dammaiguda 1350 sqft,Unfurnished,Bachelors,2,Immediately,17.5012474060059,78.599723815918,,Ground out of 1 Floor,West,,,,₹,False,9000.0,126.2
