price,coord,class
2198574,"(19.0938435, 72.9226175)",0.0
3865994,"(19.0597654, 72.8519688)",0.0
894155,"(19.1969201, 72.876083)",0.0
1311160,"(18.9946505, 72.83489920000002)",0.0
369740,"(19.1969201, 72.876083)",0.0
1109271,"(19.0461248, 72.9132122)",0.0
2353308,"(19.144455, 72.82492599999998)",0.0
1956529,"(19.0146777, 72.85086120000003)",0.0
4854344,"(19.057416600000003, 72.85077740000001)",0.0
2575088,"(19.0018492, 72.8287309)",0.0
2232191,"(19.0292811, 72.85220550000003)",0.0
725664,"(19.0804525, 72.8878045)",0.0
4995537,"(19.0219643, 72.8375465)",0.0
1042070,"(19.1289207, 72.8619092)",0.0
443749,"(19.1289207, 72.8619092)",0.0
524457,"(19.1969201, 72.876083)",0.0
605112,"(19.2228758, 72.84217840000002)",0.0
1176663,"(19.1146891, 72.89624189999998)",0.0
924477,"(18.9648916, 72.8261411)",0.0
520296,"(19.0959575, 72.88739679999998)",0.0
733194,"(19.236527, 72.84269300000003)",0.0
1741378,"(19.134061, 72.86307790000002)",1.0
1613632,"(19.1572463, 72.84051079999998)",0.0
1203501,"(19.1073963, 72.91548379999998)",0.0
672263,"(19.1011489, 72.91122419999998)",0.0
571486,"(19.1969201, 72.876083)",0.0
1243659,"(19.172349, 72.881314)",0.0
504233,"(19.2228758, 72.84217840000002)",0.0
484258,"(19.1998211, 72.84259399999998)",0.0
7842926,"(19.0459014, 72.82003220000001)",0.0
1374949,"(19.1296561, 72.9333067)",1.0
5825885,"(19.0061264, 72.8296727)",0.0
813540,"(19.1656736, 72.85854350000002)",0.0
1795166,"(19.1833582, 72.86091549999998)",1.0
7752159,"(19.0188042, 72.8301195)",0.0
880690,"(19.071795, 72.86294199999998)",0.0
531208,"(19.1969201, 72.876083)",0.0
907668,"(19.1011489, 72.91122419999998)",0.0
484090,"(19.2471573, 72.8462833)",0.0
672691,"(19.1969201, 72.876083)",0.0
1485886,"(19.2230136, 72.8450345)",0.0
1052223,"(19.0690361, 72.8943595)",0.0
1253927,"(19.2037789, 72.83452170000002)",0.0
4215615,"(19.0239138, 72.85222499999998)",0.0
2201936,"(19.163447100000006, 72.83478259999998)",0.0
497506,"(19.2438394, 72.86778819999998)",0.0
1203489,"(19.1011489, 72.91122419999998)",0.0
551425,"(19.172349, 72.881314)",0.0
1176641,"(19.1969201, 72.876083)",0.0
1243875,"(19.172349, 72.881314)",0.0
2948241,"(19.0201023, 72.8483609)",0.0
2279256,"(19.0855971, 72.90927940000002)",0.0
1280821,"(19.1663345, 72.96367740000002)",0.0
741162,"(19.254240600000006, 72.8661128)",0.0
5640990,"(18.9996394, 72.82537370000001)",0.0
403448,"(19.2022243, 72.8152705)",0.0
1075755,"(19.195874, 72.839519)",0.0
2756377,"(18.9700798, 72.8395161)",0.0
1042138,"(19.1969201, 72.876083)",0.0
504260,"(19.0390214, 72.86189519999998)",0.0
785973,"(19.062710100000004, 72.88387139999998)",0.0
4743407,"(19.1208974, 72.9176751)",0.0
1216948,"(18.999417, 72.852407)",0.0
1670782,"(19.1154632, 72.91804929999998)",0.0
1643888,"(19.078433800000006, 72.85564819999998)",0.0
1990147,"(19.1133583, 72.84693370000002)",0.0
7247899,"(19.0061264, 72.8296727)",0.0
2185127,"(19.172349, 72.881314)",0.0
773266,"(19.172349, 72.881314)",0.0
7624413,"(19.0484216, 72.82252290000002)",0.0
2285946,"(19.1979771, 72.87249179999998)",0.0
5042763,"(19.020062300000006, 72.8353928)",0.0
1378311,"(19.0725049, 72.902937)",0.0
8121950,"(19.0148069, 72.84641529999998)",0.0
653185,"(19.2498773, 72.86801120000001)",0.0
2363299,"(18.9801254, 72.84028599999998)",0.0
38179214,"(18.9970568, 72.81840270000002)",0.0
1089202,"(19.167268300000003, 72.93839380000001)",0.0
5681331,"(18.9801254, 72.84028599999998)",0.0
1146351,"(19.1806741, 72.9491078)",0.0
605028,"(19.1969201, 72.876083)",0.0
403408,"(19.160481, 72.9454193)",0.0
806772,"(19.1969201, 72.876083)",0.0
638830,"(19.172349, 72.881314)",0.0
840430,"(19.0638046, 72.8920434)",0.0
981626,"(19.0605473, 72.8861184)",0.0
2285979,"(19.1156638, 72.9130279)",0.0
773199,"(19.2574665, 72.8650191)",0.0
1781719,"(19.1156638, 72.9130279)",0.0
2218745,"(19.173138, 72.9527016)",0.0
1502695,"(19.082632500000006, 72.90984440000003)",0.0
1270735,"(19.1418875, 72.93010009999998)",0.0
285761,"(19.2169842, 72.820583)",0.0
874021,"(19.111988, 72.866923)",0.0
941326,"(19.0523035, 72.91507220000003)",0.0
941183,"(19.1367393, 72.9317595)",0.0
