areas,bathrooms,bedrooms,r$_pmo,coord,class
84.0,2.0,2.0,1400,"(-22.9396582, -43.3369363)",0.0
70.0,2.0,2.0,1590,"(-22.9451467, -43.3374151)",0.0
70.0,2.0,2.0,2300,"(-22.970812600000002, -43.3943784)",0.0
54.0,2.0,2.0,1600,"(-22.8947555, -43.2215672)",0.0
92.0,3.0,2.0,2600,"(-23.0048388, -43.366279799999994)",0.0
71.0,2.0,2.0,1700,"(-22.9264873, -43.2362387)",0.0
134.0,4.0,4.0,6500,"(-22.9790043, -43.21843320000001)",0.0
150.0,2.0,3.0,4000,"(-22.983158399999997, -43.2050161)",0.0
92.0,2.0,3.0,1700,"(-22.8128362, -43.2007792)",0.0
51.0,2.0,2.0,1300,"(-22.978555800000002, -43.4178749)",0.0
70.0,2.0,2.0,1500,"(-22.8306464, -43.3137382)",0.0
72.0,,2.0,2100,"(-22.9997404, -43.3659929)",0.0
50.0,1.0,1.0,2000,"(-22.9535105, -43.181536799999996)",0.0
120.0,3.0,3.0,4500,"(-27.5660564, -53.9719817)",0.0
80.0,1.0,1.0,3300,"(-23.0048388, -43.366279799999994)",0.0
56.0,2.0,2.0,1600,"(-22.927716699999998, -43.359089600000004)",0.0
50.0,1.0,1.0,1700,"(-22.98939660000001, -43.2304766)",0.0
60.0,1.0,2.0,800,"(-22.896601399999998, -43.3447441)",0.0
65.0,2.0,2.0,2300,"(-23.0048388, -43.366279799999994)",0.0
86.0,2.0,2.0,3600,"(-22.943613199999998, -43.185880499999996)",0.0
80.0,4.0,2.0,3000,"(-22.9332703, -43.237241)",0.0
100.0,2.0,3.0,3100,"(-22.912447600000004, -43.2220924)",0.0
78.0,2.0,3.0,1800,"(-22.9709611, -43.395351399999996)",0.0
100.0,1.0,2.0,1400,"(-22.920916300000002, -43.2629986)",0.0
72.0,1.0,2.0,1350,"(-22.912677600000002, -43.23876679999999)",0.0
210.0,1.0,4.0,4500,"(-23.0132586, -43.29810850000001)",0.0
280.0,2.0,4.0,10000,"(-22.9641329, -43.2028646)",0.0
