areas,bathrooms,bedrooms,price,coord,class
70.0,1.0,2.0,1887,"(-22.8919912, -43.27960820000001)",0.0
50.0,1.0,1.0,3209,"(-22.962703899999998, -43.1767378)",0.0
65.0,2.0,2.0,2246,"(-22.928988, -43.3534191)",1.0
50.0,1.0,1.0,1699,"(-22.9146714, -43.3938806)",1.0
160.0,3.0,3.0,13212,"(-22.98679, -43.2200859)",0.0
60.0,1.0,1.0,4907,"(-22.9322135, -43.177597799999994)",0.0
58.0,,2.0,2076,"(-22.9997404, -43.3659929)",0.0
90.0,2.0,2.0,2454,"(-22.9396582, -43.3369363)",0.0
75.0,2.0,2.0,4152,"(-22.9163901, -43.2221112)",0.0
80.0,1.0,2.0,3775,"(-22.97579330000001, -43.1912304)",0.0
56.0,1.0,2.0,1812,"(-22.902391199999997, -43.258096)",0.0
45.0,1.0,1.0,3397,"(-22.925157100000003, -43.23006760000001)",0.0
60.0,1.0,2.0,2359,"(-23.005536, -43.428404)",0.0
78.0,2.0,2.0,3020,"(-22.9315642, -43.2425412)",0.0
171.0,,4.0,5002,"(-23.0066417, -43.4845412)",0.0
664.0,,5.0,35861,"(-23.014923800000002, -43.407209)",0.0
