Avg. Rate,Configs,Possession Date,location,price,title,Avg. Price,Built Up Area,Possession Status,Plot Area
,,,"Dahisar East, Mumbai",75.0 L,1 BHK Independent House, 13.64k / sqft.,550 sqft.,,
,,,"Kandivali East, Mumbai",75.0 L,1 BHK Apartment, 13.64k / sqft.,550 sqft.,,
,,,"Bhandup West, Mumbai",75.0 L,1 BHK Apartment, 13.64k / sqft.,550 sqft.,,
,,,"Kandivali West, Mumbai",75.0 L,1 BHK Apartment, 13.64k / sqft.,550 sqft.,,
,,,"Bhandup West, Mumbai",2.25 Cr,3 BHK Apartment, 13.64k / sqft.,1650 sqft.,,
,,,"Chembur, Mumbai",1.5 Cr,2 BHK Apartment, 13.64k / sqft.,1100 sqft.,,
,,,"Malad East, Mumbai",75.0 L,1 BHK Apartment, 13.64k / sqft.,550 sqft.,,
,,,"Kandivali East, Mumbai",1.05 Cr,2 BHK Apartment, 13.64k / sqft.,770 sqft.,,
,,"31st May, 2020","Mulund East, Mumbai",1.5 Cr,2 BHK Apartment, 13.64k / sqft.,1100 sqft.,,
,,,"Dahisar East, Mumbai",45.0 L,1 BHK Apartment, 13.64k / sqft.,330 sqft.,,
,,,"Goregaon West, Mumbai",75.0 L,1 BHK Apartment, 13.64k / sqft.,550 sqft.,,
,,"30th Nov, 2020","Goregaon West, Mumbai",75.0 L,1 BHK Apartment, 13.64k / sqft.,550 sqft.,,
,,,"Bhandup West, Mumbai",1.35 Cr,2 BHK Apartment, 13.64k / sqft.,990 sqft.,,
,,,"Dahisar West, Mumbai",1.35 Cr,2 BHK Apartment, 13.64k / sqft.,990 sqft.,,
,,,"Bhandup East, Mumbai",1.05 Cr,1 BHK Apartment, 13.64k / sqft.,770 sqft.,,
,,"31st Dec, 2023","Mulund West, Mumbai",1.5 Cr,2 BHK Apartment, 13.64k / sqft.,1100 sqft.,,
,,"30th Nov, 2023","Kandivali West, Mumbai",75.0 L,1 BHK Apartment, 13.64k / sqft.,550 sqft.,,
,,,"Ghatkopar West, Mumbai",75.0 L,1 BHK Apartment, 13.64k / sqft.,550 sqft.,,
,,,"Borivali West, Mumbai",1.5 Cr,2 BHK Apartment, 13.64k / sqft.,1100 sqft.,,
,,,"Goregaon West, Mumbai",1.5 Cr,2 BHK Apartment, 13.64k / sqft.,1100 sqft.,,
,,,"Kandivali West, Mumbai",1.5 Cr,3 BHK Apartment, 13.64k / sqft.,1100 sqft.,,
,,,"Kandivali West, Mumbai",90.0 L,1 BHK Apartment, 13.64k / sqft.,660 sqft.,,
,,,"Goregaon West, Mumbai",3.0 Cr,3 BHK Apartment, 13.64k / sqft.,2200 sqft.,,
,,,"Borivali West, Mumbai",1.5 Cr,3 BHK Independent House, 13.64k / sqft.,1100 sqft.,,
,,"31st Aug, 2020","Malad East, Mumbai",1.5 Cr,2 BHK Apartment, 13.64k / sqft.,1100 sqft.,,
,,,"Kanjurmarg East, Mumbai",75.0 L,1 BHK Apartment, 13.64k / sqft.,550 sqft.,,
,,,"Chembur, Mumbai",75.0 L,1 BHK Apartment, 13.64k / sqft.,550 sqft.,,
,,,"Malad West, Mumbai",1.05 Cr,1 BHK Apartment, 13.64k / sqft.,770 sqft.,,
,,"25th Dec, 2022","Malad West, Mumbai",75.0 L,1 BHK Apartment, 13.64k / sqft.,550 sqft.,,
,,"7th Jan, 2024","Kandivali West, Mumbai",75.0 L,1 BHK Apartment, 13.64k / sqft.,550 sqft.,,
,,"30th Nov, 2020","Chembur, Mumbai",1.5 Cr,2 BHK Apartment, 13.64k / sqft.,1100 sqft.,,
,,,"Borivali West, Mumbai",1.17 Cr,2 BHK Apartment, 13.64k / sqft.,858 sqft.,,
,,,"Andheri East, Mumbai",3.0 Cr,5 BHK Independent Floor, 13.64k / sqft.,2200 sqft.,,
13.64k per sqft.,1 BHK Independent Floor,"Dec, 2020","Bandra West, Mumbai",75.0 L,Grace Villa,,,,
,,,"Chembur, Mumbai",1.6 Cr,2 BHK Apartment, 13.64k / sqft.,1173 sqft.,Ready to move in,
,,,"Bhandup West, Mumbai",1.45 Cr,2 BHK Apartment, 13.64k / sqft.,1063 sqft.,,
,,,"Jogeshwari West, Mumbai",1.39 Cr,2 BHK Apartment, 13.64k / sqft.,1019 sqft.,,
,,,"Malad West, Mumbai",1.45 Cr,2 BHK Apartment, 13.64k / sqft.,1063 sqft.,,
,,,"Vikhroli East, Mumbai",1.31 Cr,2 BHK Apartment, 13.65k / sqft.,960 sqft.,,
,,"30th Nov, 2021","Kandivali West, Mumbai",1.13 Cr,2 BHK Apartment, 13.65k / sqft.,828 sqft.,,
,,,"Kurla East, Mumbai",1.16 Cr,2 BHK Apartment, 13.65k / sqft.,850 sqft.,,
,,,"Kandivali West, Mumbai",86.0 L,1 BHK Apartment, 13.65k / sqft.,630 sqft.,,
,,,"Kandivali East, Mumbai",86.0 L,1 BHK Independent Floor, 13.65k / sqft.,630 sqft.,,
,,,"Kandivali East, Mumbai",2.4 Cr,3 BHK Apartment, 13.65k / sqft.,1758 sqft.,,
,,,"Bhandup West, Mumbai",1.42 Cr,2 BHK Apartment, 13.65k / sqft.,1040 sqft.,,
,,"30th Mar, 2020","Kanjurmarg West, Mumbai",1.82 Cr,2 BHK Apartment, 13.65k / sqft.,1333 sqft.,,
,,,"Kandivali East, Mumbai",1.7 Cr,2.5 BHK Apartment, 13.65k / sqft.,1245 sqft.,,
,,,"Malad West, Mumbai",1.7 Cr,2 BHK Apartment, 13.65k / sqft.,1245 sqft.,,
,,,"Kandivali East, Mumbai",6.56 Cr,3 BHK Apartment, 13.66k / sqft.,4800 sqft.,,
,,"30th Dec, 2021","Vikhroli East, Mumbai",87.0 L,1 BHK Apartment, 13.66k / sqft.,637 sqft.,,
,,,"Goregaon East, Mumbai",1.15 Cr,2 BHK Apartment, 13.66k / sqft.,842 sqft.,,
,,,"Bhandup West, Mumbai",84.0 L,1 BHK Apartment, 13.66k / sqft.,615 sqft.,,
,,"30th Nov, 2020","Malad West, Mumbai",2.5 Cr,3 BHK Apartment, 13.66k / sqft.,1830 sqft.,,
,,"29th May, 2022","Jogeshwari West, Mumbai",1.94 Cr,2 BHK Apartment, 13.66k / sqft.,1420 sqft.,,
,,,"Goregaon West, Mumbai",4.27 Cr,4 BHK Apartment, 13.66k / sqft.,3125 sqft.,,
,,,"Kandivali East, Mumbai",82.0 L,1 BHK Apartment, 13.67k / sqft.,600 sqft.,,
,,,"Goregaon West, Mumbai",82.0 L,1 BHK Apartment, 13.67k / sqft.,600 sqft.,,
,,"30th Dec, 2020","Dahisar East, Mumbai",82.0 L,1 BHK Apartment, 13.67k / sqft.,600 sqft.,,
,,,"Kandivali East, Mumbai",2.05 Cr,3 BHK Apartment, 13.67k / sqft.,1500 sqft.,Ready to move in,
,,,"Bhandup East, Mumbai",82.0 L,1 BHK Apartment, 13.67k / sqft.,600 sqft.,,
,,,"Kandivali East, Mumbai",1.23 Cr,2 BHK Apartment, 13.67k / sqft.,900 sqft.,,
,,,"Goregaon East, Mumbai",1.64 Cr,2 BHK Apartment, 13.67k / sqft.,1200 sqft.,,
,,"30th Dec, 2020","Jogeshwari West, Mumbai",2.87 Cr,3 BHK Apartment, 13.67k / sqft.,2100 sqft.,,
,,,"Jogeshwari East, Mumbai",41.0 L,1 RK Apartment, 13.67k / sqft.,300 sqft.,,
,,,"Dahisar East, Mumbai",82.0 L,1 BHK Apartment, 13.67k / sqft.,600 sqft.,,
,,,"Kanjurmarg East, Mumbai",82.0 L,1 BHK Apartment, 13.67k / sqft.,600 sqft.,,
,,,"Kandivali West, Mumbai",2.05 Cr,3 BHK Apartment, 13.67k / sqft.,1500 sqft.,,
,,"29th Apr, 2020","Bhandup West, Mumbai",82.0 L,1 BHK Apartment, 13.67k / sqft.,600 sqft.,,
,,"30th Dec, 2024","Mulund West, Mumbai",1.64 Cr,2 BHK Apartment, 13.67k / sqft.,1200 sqft.,,
,,,"Kandivali East, Mumbai",1.39 Cr,2 BHK Apartment, 13.67k / sqft.,1017 sqft.,,
,,"30th Dec, 2022","Dahisar East, Mumbai",95.0 L,2 BHK Apartment, 13.67k / sqft.,695 sqft.,,
,,,"Kandivali East, Mumbai",79.97 L,1 BHK Apartment, 13.67k / sqft.,585 sqft.,,
,,,"Kandivali East, Mumbai",1.75 Cr,3 BHK Apartment, 13.67k / sqft.,1280 sqft.,,
,,,"Borivali West, Mumbai",80.0 L,1 BHK Apartment, 13.68k / sqft.,585 sqft.,,
,,,"Mulund East, Mumbai",1.6 Cr,2 BHK Apartment, 13.68k / sqft.,1170 sqft.,,
,,,"Bhandup West, Mumbai",80.0 L,1 BHK Apartment, 13.68k / sqft.,585 sqft.,,
,,,"Goregaon West, Mumbai",1.6 Cr,2 BHK Apartment, 13.68k / sqft.,1170 sqft.,,
,,,"Dahisar East, Mumbai",80.0 L,1 BHK Apartment, 13.68k / sqft.,585 sqft.,,
,,,"Kandivali West, Mumbai",93.0 L,1 BHK Apartment, 13.68k / sqft.,680 sqft.,,
,,"30th Nov, 2022","Chembur, Mumbai",1.41 Cr,2 BHK Apartment, 13.68k / sqft.,1031 sqft.,,
,,,"Borivali West, Mumbai",1.45 Cr,2 BHK Apartment, 13.68k / sqft.,1060 sqft.,,
,,"31st Aug, 2022","Mulund West, Mumbai",1.13 Cr,1 BHK Apartment, 13.68k / sqft.,826 sqft.,,
,,"30th Dec, 2022","Jogeshwari East, Mumbai",81.0 L,1 BHK Apartment, 13.68k / sqft.,592 sqft.,,
,,,"Kandivali East, Mumbai",78.0 L,1 BHK Apartment, 13.68k / sqft.,570 sqft.,,
,,,"Kanjurmarg East, Mumbai",1.3 Cr,2 BHK Apartment, 13.68k / sqft.,950 sqft.,,
,,,"Parel, Mumbai",65.0 L,1 BHK Apartment, 13.68k / sqft.,475 sqft.,,
,,,"Kurla West, Mumbai",1.3 Cr,2 BHK Apartment, 13.68k / sqft.,950 sqft.,,
,,,"Malad West, Mumbai",1.3 Cr,2 BHK Apartment, 13.68k / sqft.,950 sqft.,,
,,,"Goregaon West, Mumbai",1.3 Cr,2 BHK Apartment, 13.68k / sqft.,950 sqft.,,
,,,"Bhandup East, Mumbai",1.3 Cr,2 BHK Apartment, 13.68k / sqft.,950 sqft.,,
,,,"Powai, Mumbai",78.0 L,1 BHK Apartment, 13.68k / sqft.,570 sqft.,,
,,,"Andheri East, Mumbai",1.3 Cr,2 BHK Apartment, 13.68k / sqft.,950 sqft.,,
,,,"Kandivali West, Mumbai",1.3 Cr,2 BHK Apartment, 13.68k / sqft.,950 sqft.,,
,,,"Goregaon East, Mumbai",1.3 Cr,2 BHK Apartment, 13.68k / sqft.,950 sqft.,,
,,,"Kandivali East, Mumbai",52.0 L,1 RK Apartment, 13.68k / sqft.,380 sqft.,,
,,,"Andheri West, Mumbai",1.3 Cr,2 BHK Apartment, 13.68k / sqft.,950 sqft.,,
,,,"Mulund East, Mumbai",1.3 Cr,2 BHK Apartment, 13.68k / sqft.,950 sqft.,,
,,,"Malad East, Mumbai",2.6 Cr,3 BHK Apartment, 13.68k / sqft.,1900 sqft.,,
,,,"Kandivali West, Mumbai",78.0 L,1 BHK Apartment, 13.68k / sqft.,570 sqft.,,
,,,"Goregaon East, Mumbai",1.7 Cr,2 BHK Apartment, 13.69k / sqft.,1242 sqft.,,
,,,"Dahisar East, Mumbai",85.0 L,2 BHK Apartment, 13.69k / sqft.,621 sqft.,,
,,,"Kandivali East, Mumbai",2.3 Cr,3 BHK Apartment, 13.69k / sqft.,1680 sqft.,,
,,"29th Jun, 2020","Chembur, Mumbai",1.15 Cr,2 BHK Apartment, 13.69k / sqft.,840 sqft.,,
,,,"Borivali East, Mumbai",2.3 Cr,3 BHK Apartment, 13.69k / sqft.,1680 sqft.,,
,,,"Kandivali East, Mumbai",1.02 Cr,2 BHK Apartment, 13.69k / sqft.,745 sqft.,,
,,,"Borivali East, Mumbai",89.0 L,1 BHK Apartment, 13.69k / sqft.,650 sqft.,,
,,,"Malad West, Mumbai",89.0 L,1 BHK Apartment, 13.69k / sqft.,650 sqft.,,
,,,"Bhandup West, Mumbai",89.0 L,2 BHK Apartment, 13.69k / sqft.,650 sqft.,,
,,,"Ghatkopar West, Mumbai",99.0 L,1 BHK Apartment, 13.69k / sqft.,723 sqft.,,
,,"30th Nov, 2022","Kandivali East, Mumbai",89.0 L,1 BHK Apartment, 13.69k / sqft.,650 sqft.,,
,,,"Kandivali East, Mumbai",89.0 L,1 BHK Apartment, 13.69k / sqft.,650 sqft.,,
,,"30th Mar, 2021","Jogeshwari West, Mumbai",1.55 Cr,2 BHK Apartment, 13.69k / sqft.,1132 sqft.,,
,,,"Ghatkopar West, Mumbai",89.0 L,1 BHK Apartment, 13.69k / sqft.,650 sqft.,,
,,"30th Jul, 2020","Kandivali East, Mumbai",2.02 Cr,3 BHK Apartment, 13.69k / sqft.,1475 sqft.,,
,,,"Malad West, Mumbai",63.0 L,1 BHK Apartment, 13.7k / sqft.,460 sqft.,,
,,,"Malad East, Mumbai",90.0 L,1 BHK Apartment, 13.7k / sqft.,657 sqft.,,
,,,"Malad East, Mumbai",1.37 Cr,2 BHK Apartment, 13.7k / sqft.,1000 sqft.,,
,,,"Vikhroli East, Mumbai",1.37 Cr,2 BHK Apartment, 13.7k / sqft.,1000 sqft.,Ready to move in,
,,,"Kandivali West, Mumbai",1.37 Cr,2 BHK Apartment, 13.7k / sqft.,1000 sqft.,,
13.7k per sqft.,2 BHK Apartment,,"Goregaon West, Mumbai",1.77 Cr,Dattani Shelter ,,,Ready to Move,
,,,"Goregaon West, Mumbai",1.85 Cr,2.5 BHK Apartment, 13.7k / sqft.,1350 sqft.,,
,,,"Goregaon West, Mumbai",1.85 Cr,2 BHK Independent House, 13.7k / sqft.,1350 sqft.,,
,,,"Goregaon East, Mumbai",1.85 Cr,3 BHK Apartment, 13.7k / sqft.,1350 sqft.,,
13.7k per sqft.,3 BHK Apartment,,"Kandivali West, Mumbai",1.85 Cr,Charkop Kavya Beach Wood,,,Ready to Move,
,,,"Mulund East, Mumbai",1.35 Cr,2 BHK Apartment, 13.71k / sqft.,985 sqft.,,
,,,"Bhandup East, Mumbai",1.23 Cr,2 BHK Apartment, 13.71k / sqft.,900 sqft.,Ready to move in,
,,,"Malad West, Mumbai",98.0 L,1 BHK Apartment, 13.71k / sqft.,715 sqft.,,
,,"30th Apr, 2023","Bhandup West, Mumbai",1.22 Cr,2 BHK Apartment, 13.71k / sqft.,890 sqft.,,
,,"31st May, 2020","Kandivali East, Mumbai",2.0 Cr,2 BHK Apartment, 13.71k / sqft.,1459 sqft.,,
,,,"Goregaon East, Mumbai",85.0 L,1 BHK Apartment, 13.71k / sqft.,620 sqft.,,
,,"30th Mar, 2020","Malad West, Mumbai",85.0 L,1 BHK Apartment, 13.71k / sqft.,620 sqft.,,
,,,"Vikhroli East, Mumbai",85.0 L,1 BHK Apartment, 13.71k / sqft.,620 sqft.,Ready to move in,
,,,"Kandivali West, Mumbai",85.0 L,1 BHK Apartment, 13.71k / sqft.,620 sqft.,,
,,"29th Dec, 2020","Borivali East, Mumbai",85.0 L,1 BHK Apartment, 13.71k / sqft.,620 sqft.,,
,,,"Goregaon East, Mumbai",1.5 Cr,2 BHK Apartment, 13.71k / sqft.,1094 sqft.,,
,,,"Kandivali East, Mumbai",2.4 Cr,3 BHK Apartment, 13.71k / sqft.,1750 sqft.,,
,,,"Goregaon East, Mumbai",48.0 L,Residential Plot in Satellite Garden Phase I, 13.71k / sqft.,,,350 sqft.
,,,"Kurla West, Mumbai",48.0 L,1 RK Apartment, 13.71k / sqft.,350 sqft.,,
,,,"Santacruz East, Mumbai",48.0 L,1 RK Apartment, 13.71k / sqft.,350 sqft.,,
,,,"Dahisar West, Mumbai",1.2 Cr,2 BHK Apartment, 13.71k / sqft.,875 sqft.,,
,,,"Powai, Mumbai",1.68 Cr,2 BHK Apartment, 13.71k / sqft.,1225 sqft.,,
,,,"Bhandup East, Mumbai",72.0 L,1 BHK Apartment, 13.71k / sqft.,525 sqft.,,
,,,"Borivali West, Mumbai",2.4 Cr,4 BHK Apartment, 13.71k / sqft.,1750 sqft.,,
,,,"Malad West, Mumbai",96.0 L,2 BHK Apartment, 13.71k / sqft.,700 sqft.,,
,,,"Dahisar East, Mumbai",72.0 L,1 BHK Apartment, 13.71k / sqft.,525 sqft.,,
,,,"Kandivali West, Mumbai",1.65 Cr,2 BHK Apartment, 13.72k / sqft.,1203 sqft.,,
,,"24th Mar, 2021","Sion, Mumbai",1.65 Cr,2 BHK Apartment, 13.72k / sqft.,1203 sqft.,,
,,"21st Dec, 2023","Mulund West, Mumbai",1.34 Cr,2 BHK Apartment, 13.72k / sqft.,977 sqft.,,
,,,"Goregaon West, Mumbai",1.55 Cr,2 BHK Apartment, 13.72k / sqft.,1130 sqft.,,
,,"5th Jun, 2020","Kanjurmarg East, Mumbai",1.72 Cr,3 BHK Apartment, 13.72k / sqft.,1254 sqft.,,
,,,"Andheri East, Mumbai",3.1 Cr,4 BHK Apartment, 13.72k / sqft.,2260 sqft.,,
,,,"Mulund East, Mumbai",1.35 Cr,2 BHK Apartment, 13.72k / sqft.,984 sqft.,Ready to move in,
,,,"Chembur, Mumbai",2.53 Cr,3 BHK Apartment, 13.72k / sqft.,1844 sqft.,Ready to move in,
,,,"Kandivali West, Mumbai",1.18 Cr,2 BHK Apartment, 13.72k / sqft.,860 sqft.,,
,,"30th Dec, 2021","Bhandup West, Mumbai",81.24 L,1 BHK Apartment, 13.72k / sqft.,592 sqft.,,
,,,"Chembur, Mumbai",1.64 Cr,2 BHK Apartment, 13.72k / sqft.,1195 sqft.,Ready to move in,
,,"30th Nov, 2020","Kurla East, Mumbai",1.36 Cr,2 BHK Apartment, 13.72k / sqft.,991 sqft.,,
,,,"Kurla West, Mumbai",2.3 Cr,3 BHK Apartment, 13.72k / sqft.,1676 sqft.,,
,,,"Bhandup West, Mumbai",82.34 L,1 BHK Apartment, 13.72k / sqft.,600 sqft.,,
,,,"Chembur, Mumbai",2.13 Cr,3 BHK Apartment, 13.72k / sqft.,1552 sqft.,Ready to move in,
,,,"Kandivali West, Mumbai",1.4 Cr,3 BHK Apartment, 13.73k / sqft.,1020 sqft.,,
,,"30th Dec, 2021","Kandivali West, Mumbai",54.9 L,1 RK Apartment, 13.73k / sqft.,400 sqft.,,
,,,"Bhandup West, Mumbai",90.59 L,1 BHK Apartment, 13.73k / sqft.,660 sqft.,,
,,,"Andheri West, Mumbai",1.05 Cr,1 BHK Apartment, 13.73k / sqft.,765 sqft.,,
,,,"Dahisar West, Mumbai",70.0 L,1 BHK Apartment, 13.73k / sqft.,510 sqft.,,
,,,"Bhandup West, Mumbai",98.0 L,1 BHK Apartment, 13.73k / sqft.,714 sqft.,,
,,,"Borivali West, Mumbai",70.0 L,1 BHK Apartment, 13.73k / sqft.,510 sqft.,,
,,,"Mulund East, Mumbai",1.75 Cr,3 BHK Apartment, 13.73k / sqft.,1275 sqft.,,
,,"30th May, 2020","Dahisar East, Mumbai",1.51 Cr,2 BHK Apartment, 13.73k / sqft.,1100 sqft.,,
,,,"Goregaon West, Mumbai",1.51 Cr,2 BHK Apartment, 13.73k / sqft.,1100 sqft.,,
,,,"Chembur, Mumbai",92.0 L,1 BHK Apartment, 13.73k / sqft.,670 sqft.,,
,,"30th Sep, 2020","Malad East, Mumbai",92.0 L,1 BHK Apartment, 13.73k / sqft.,670 sqft.,,
,,,"Kurla West, Mumbai",92.0 L,1 BHK Apartment, 13.73k / sqft.,670 sqft.,,
,,,"Kandivali East, Mumbai",1.36 Cr,2 BHK Apartment, 13.74k / sqft.,990 sqft.,Ready to move in,
,,,"Ghatkopar West, Mumbai",93.0 L,1 BHK Apartment, 13.74k / sqft.,677 sqft.,,
,,"29th Jun, 2023","Kanjurmarg West, Mumbai",1.4 Cr,2 BHK Apartment, 13.74k / sqft.,1019 sqft.,,
,,,"Chembur, Mumbai",2.15 Cr,2 BHK Apartment, 13.74k / sqft.,1565 sqft.,,
,,,"Malad West, Mumbai",1.58 Cr,2 BHK Apartment, 13.74k / sqft.,1150 sqft.,,
,,,"Kandivali West, Mumbai",79.0 L,1 BHK Apartment, 13.74k / sqft.,575 sqft.,,
,,,"Bhandup West, Mumbai",92.35 L,1 BHK Apartment, 13.74k / sqft.,672 sqft.,,
,,,"Chembur, Mumbai",1.95 Cr,2 BHK Apartment, 13.74k / sqft.,1419 sqft.,,
,,,"Chembur, Mumbai",3.22 Cr,4 BHK Apartment, 13.74k / sqft.,2343 sqft.,Ready to move in,
,,,"Chembur, Mumbai",2.76 Cr,3 BHK Apartment, 13.75k / sqft.,2008 sqft.,,
,,"30th Apr, 2021","Mulund West, Mumbai",81.11 L,1 BHK Apartment, 13.75k / sqft.,590 sqft.,,
,,"9th Jun, 2021","Kandivali West, Mumbai",1.61 Cr,2 BHK Apartment, 13.75k / sqft.,1171 sqft.,,
,,,"Chembur, Mumbai",1.1 Cr,1 BHK Apartment, 13.75k / sqft.,800 sqft.,,
,,,"Bhandup East, Mumbai",1.1 Cr,2 BHK Apartment, 13.75k / sqft.,800 sqft.,,
,,,"Malad East, Mumbai",55.0 L,1 RK Apartment, 13.75k / sqft.,400 sqft.,,
,,"29th Jun, 2020","Dahisar East, Mumbai",1.65 Cr,3 BHK Apartment, 13.75k / sqft.,1200 sqft.,,
,,,"Malad West, Mumbai",55.0 L,1 BHK Apartment, 13.75k / sqft.,400 sqft.,,
,,,"Malad East, Mumbai",1.1 Cr,1 BHK Apartment, 13.75k / sqft.,800 sqft.,,
,,,"Mahalakshmi Nagar, Mumbai",55.0 L,1 BHK Apartment, 13.75k / sqft.,400 sqft.,,
,,"31st May, 2020","Andheri West, Mumbai",1.1 Cr,1 BHK Apartment, 13.75k / sqft.,800 sqft.,,
,,,"Kandivali East, Mumbai",2.2 Cr,4 BHK Apartment, 13.75k / sqft.,1600 sqft.,,
,,,"Ghatkopar West, Mumbai",1.1 Cr,2 BHK Apartment, 13.75k / sqft.,800 sqft.,,
,,,"Kamathipura, Mumbai",55.0 L,1 BHK Apartment, 13.75k / sqft.,400 sqft.,,
,,"7th Jan, 2021","Kandivali West, Mumbai",1.65 Cr,2 BHK Apartment, 13.75k / sqft.,1200 sqft.,,
,,,"Malad West, Mumbai",55.0 L,1 RK Apartment, 13.75k / sqft.,400 sqft.,,
,,"30th Dec, 2023","Mulund West, Mumbai",1.32 Cr,2 BHK Apartment, 13.75k / sqft.,960 sqft.,,
,,,"Kandivali East, Mumbai",55.0 L,1 BHK Apartment, 13.75k / sqft.,400 sqft.,,
,,,"Kurla East, Mumbai",1.1 Cr,2 BHK Apartment, 13.75k / sqft.,800 sqft.,,
,,,"Dahisar East, Mumbai",55.0 L,1 RK Apartment, 13.75k / sqft.,400 sqft.,,
,,,"Kurla West, Mumbai",55.0 L,1 RK Apartment, 13.75k / sqft.,400 sqft.,,
,,,"Jogeshwari East, Mumbai",1.65 Cr,2 BHK Apartment, 13.75k / sqft.,1200 sqft.,,
,,,"Borivali East, Mumbai",55.0 L,1 RK Apartment, 13.75k / sqft.,400 sqft.,,
,,,"Goregaon East, Mumbai",55.0 L,1 RK Apartment, 13.75k / sqft.,400 sqft.,,
,,,"Bhandup West, Mumbai",55.0 L,1 BHK Apartment, 13.75k / sqft.,400 sqft.,,
,,"29th Jun, 2020","Kandivali East, Mumbai",2.75 Cr,3 BHK Apartment, 13.75k / sqft.,2000 sqft.,,
,,"24th Sep, 2022","Wadala, Mumbai",99.0 L,2 BHK Apartment, 13.75k / sqft.,720 sqft.,,
,,,"Chembur, Mumbai",1.32 Cr,1 BHK Apartment, 13.75k / sqft.,960 sqft.,,
,,"7th Jan, 2021","Kandivali West, Mumbai",1.1 Cr,2 BHK Apartment, 13.75k / sqft.,800 sqft.,,
,,,"Chembur, Mumbai",1.65 Cr,2.5 BHK Apartment, 13.75k / sqft.,1200 sqft.,,
,,,"Kurla East, Mumbai",1.1 Cr,1 BHK Apartment, 13.75k / sqft.,800 sqft.,,
,,,"Dahisar East, Mumbai",16.5 L,Residential Plot, 13.75k / sqft.,,,120 sqft.
,,,"Borivali West, Mumbai",55.0 L,1 BHK Apartment, 13.75k / sqft.,400 sqft.,,
,,,"Dahisar West, Mumbai",55.0 L,1 RK Apartment, 13.75k / sqft.,400 sqft.,,
,,,"Kandivali West, Mumbai",1.03 Cr,1 BHK Apartment, 13.75k / sqft.,749 sqft.,,
,,,"Borivali West, Mumbai",1.47 Cr,2 BHK Apartment, 13.75k / sqft.,1069 sqft.,,
,,"23rd Jun, 2021","Kandivali West, Mumbai",2.14 Cr,3 BHK Apartment, 13.75k / sqft.,1556 sqft.,,
,,"19th Dec, 2020","Chembur, Mumbai",85.0 L,1 BHK Apartment, 13.75k / sqft.,618 sqft.,,
,,,"Andheri West, Mumbai",1.04 Cr,1 BHK Apartment, 13.76k / sqft.,756 sqft.,,
,,,"Ghatkopar West, Mumbai",2.27 Cr,3 BHK Apartment, 13.76k / sqft.,1650 sqft.,,
,,,"Powai, Mumbai",1.45 Cr,2 BHK Apartment, 13.76k / sqft.,1054 sqft.,,
,,,"Borivali West, Mumbai",1.19 Cr,2 BHK Apartment, 13.76k / sqft.,865 sqft.,,
,,,"Chembur, Mumbai",98.78 L,1 BHK Apartment, 13.76k / sqft.,718 sqft.,Ready to move in,
,,"30th Sep, 2020","Malad East, Mumbai",1.08 Cr,2 BHK Apartment, 13.76k / sqft.,785 sqft.,,
,,,"Bhandup West, Mumbai",85.3 L,1 BHK Apartment, 13.76k / sqft.,620 sqft.,,
,,,"Bhandup West, Mumbai",83.65 L,1 BHK Apartment, 13.76k / sqft.,608 sqft.,,
,,,"Powai, Mumbai",1.72 Cr,2 BHK Apartment, 13.76k / sqft.,1250 sqft.,,
,,,"Goregaon West, Mumbai",4.3 Cr,4 BHK Apartment, 13.76k / sqft.,3125 sqft.,,
,,,"Bhandup West, Mumbai",1.5 Cr,2 BHK Apartment, 13.76k / sqft.,1090 sqft.,Ready to move in,
,,,"Malad West, Mumbai",75.0 L,1 BHK Apartment, 13.76k / sqft.,545 sqft.,,
,,,"Dahisar East, Mumbai",1.5 Cr,2 BHK Apartment, 13.76k / sqft.,1090 sqft.,,
,,,"Borivali West, Mumbai",1.5 Cr,2 BHK Apartment, 13.76k / sqft.,1090 sqft.,,
,,,"Mulund West, Mumbai",69.5 L,1 BHK Apartment, 13.76k / sqft.,505 sqft.,,
,,"30th Nov, 2022","Mulund West, Mumbai",1.28 Cr,2 BHK Apartment, 13.76k / sqft.,930 sqft.,,
,,"30th Nov, 2021","Vikhroli East, Mumbai",1.17 Cr,2 BHK Apartment, 13.76k / sqft.,850 sqft.,,
,,,"Dahisar East, Mumbai",1.17 Cr,2 BHK Apartment, 13.76k / sqft.,850 sqft.,,
,,,"Kandivali East, Mumbai",1.4 Cr,2 BHK Apartment, 13.77k / sqft.,1017 sqft.,,
,,,"Goregaon East, Mumbai",1.4 Cr,2 BHK Apartment, 13.77k / sqft.,1017 sqft.,,
,,,"Goregaon East, Mumbai",1.71 Cr,2 BHK Apartment, 13.77k / sqft.,1242 sqft.,,
,,,"Kurla West, Mumbai",95.0 L,1 BHK Apartment, 13.77k / sqft.,690 sqft.,,
,,,"Santacruz East, Mumbai",95.0 L,1 BHK Apartment, 13.77k / sqft.,690 sqft.,,
,,,"Malad East, Mumbai",95.0 L,1 BHK Apartment, 13.77k / sqft.,690 sqft.,,
,,,"Borivali West, Mumbai",95.0 L,1 BHK Apartment, 13.77k / sqft.,690 sqft.,,
,,"31st May, 2021","Kanjurmarg East, Mumbai",1.52 Cr,2 BHK Apartment, 13.77k / sqft.,1104 sqft.,,
