Avg. Rate,Configs,Possession Date,location,price,title,Avg. Price,Built Up Area,Possession Status,Plot Area
33k per sqft.,"Studio, 1, 2 BHK Apartment, Studio Apartments","Dec, 2024","Lower Parel, Mumbai",1.48 Cr - 2.26 Cr,The Baya Central,,,,
24k per sqft.,"1, 2, 3, 4 BHK Apartments","Dec, 2022","Kandivali East, Mumbai",97.83 L - 3.58 Cr,Goodwill Kanchangiri,,,,
,"Studio, 1 BHK Apartment, Studio Apartments","Dec, 2022","Bhandup West, Mumbai",36.84 L - 57.81 L,Marathon NeoHomes NeoHills,,,,
,"2, 3, 4 BHK Apartments","Dec, 2023","Mulund West, Mumbai",1.45 Cr - 3.75 Cr,Sheth Montana,,,,
,"2, 3 BHK Apartments","May, 2020","Andheri East, Mumbai",1.75 Cr - 2.5 Cr,Rhythm Serenity Heights,,,,
,"1, 2 BHK Apartments","Dec, 2023","Kanjurmarg East, Mumbai",1.14 Cr - 1.77 Cr,Arkade Earth Wing Aspen,,,,
,,,"Tardeo, Mumbai",5.0 Cr,2 BHK Apartment, 56.43k / sqft.,886 sqft.,,
,,,"Khar West, Mumbai",1.9 Cr,2 BHK Apartment, 25.68k / sqft.,740 sqft.,,
,,,"Kurla East, Mumbai",1.19 Cr,2 BHK Apartment, 13.97k / sqft.,852 sqft.,,
,,,"Bandra West, Mumbai",3.6 Cr,2 BHK Apartment, 32.73k / sqft.,1100 sqft.,,
,,,"Govandi, Mumbai",3.0 Cr,2 BHK Apartment, 25.0k / sqft.,1200 sqft.,,
32k per sqft.,2 BHK Apartment,"Jun, 2022","Andheri West, Mumbai",1.75 Cr,Tattva Mittal Cove,,,,
,"1, 2 BHK Apartments","Dec, 2019","Ghatkopar East, Mumbai",1.16 Cr - 1.66 Cr,Royal Orchid,,,,
,"Studio, 1 BHK Studio Apartment, Apartments","Dec, 2022","Bhandup West, Mumbai",43.25 L - 58.65 L,Marathon NeoHomes NeoSkies,,,,
18.5k per sqft.,"1, 2, 2.5 BHK Apartments","Dec, 2021","Kandivali East, Mumbai",44.07 L - 2.1 Cr,Gundecha Greens Phase 1,,,,
11k per sqft.,"1, 2 BHK Apartments",,"Bhandup West, Mumbai",92 L - 1.26 Cr,Belvedere,,,Ready to Move,
22.5k per sqft.,"Studio, 2 BHK Apartment, Studio Apartments","Jun, 2022","Vikhroli West, Mumbai",64.99 L - 1.61 Cr,CODENAME SARA Powai,,,,
,"1, 2 BHK Apartments","Dec, 2023","Goregaon East, Mumbai",92.8 L - 1.46 Cr,Elegance,,,,
22k per sqft.,"1, 2, 3 BHK Apartments","Jun, 2021","Malad East, Mumbai",89 L - 1.85 Cr, Tower 28,,,,
26k per sqft.,"1, 1.5, 2, 3 BHK Apartments","May, 2020","Mulund East, Mumbai",1.31 Cr - 3.21 Cr,Amardeep Anutham,,,,
,,,"Andheri East, Mumbai",2.4 Cr,3 BHK Apartment, 18.46k / sqft.,1300 sqft.,,
,,,"Kamathipura, Mumbai",10.5 Cr,4 BHK Apartment, 30.0k / sqft.,3500 sqft.,,
,,,"Andheri East, Mumbai",3.4 Cr,2.5 BHK Apartment, 18.89k / sqft.,1800 sqft.,,
,,,"Santacruz West, Mumbai",6.9 Cr,5 BHK Independent House, 28.75k / sqft.,2400 sqft.,,
,,,"Fort, Mumbai",11.0 Cr,3 BHK Apartment, 41.51k / sqft.,2650 sqft.,,
,"1, 2 BHK Apartments","Dec, 2022","Kandivali East, Mumbai",99.39 L - 1.8 Cr,SD Siennaa Wing C,,,,
