Built Up Area,coord,lat,lng,price
,"(19.207669, 72.850634)",19.207669,72.850634,24150000.0
,"(18.9505708, 72.8214886)",18.9505708,72.8214886,
,"(19.109107, 72.8486975)",19.109107,72.8486975,18000000.0
,"(18.9454613, 72.834555)",18.9454613,72.83455500000001,
525.0,"(19.1631138, 72.9380904)",19.1631138,72.93809040000001,4799250.0
1450.0,"(19.144455, 72.82492599999999)",19.144454999999997,72.82492599999998,26999500.0
600.0,"(19.195874, 72.839519)",19.195874,72.839519,10999000.0
850.0,"(19.1511736, 72.8326275)",19.1511736,72.8326275,6800000.0
900.0,"(19.2601514, 72.8542872)",19.260151399999998,72.8542872,13201500.0
,"(18.9780586, 72.8308334)",18.9780586,72.8308334,26150000.0
,"(18.9354415, 72.83425559999999)",18.9354415,72.83425559999998,26450000.0
,"(18.9472108, 72.8271266)",18.9472108,72.8271266,
,"(19.0287365, 72.84182360000001)",19.0287365,72.84182360000001,35000000.0
,"(19.0312781, 72.8421781)",19.0312781,72.8421781,43000000.0
,"(19.0360842, 72.83954790000001)",19.0360842,72.83954790000001,87500000.0
,"(18.9618587, 72.8372589)",18.9618587,72.83725890000001,16100000.0
,"(19.0366153, 72.8436705)",19.0366153,72.8436705,
,"(18.9629951, 72.8109079)",18.9629951,72.8109079,
,"(18.9536703, 72.82662479999999)",18.953670300000002,72.82662479999998,20650000.0
450.0,"(19.172349, 72.881314)",19.172349,72.881314,3401000.0
1520.0,"(19.144455, 72.82492599999999)",19.144454999999997,72.82492599999998,24898800.0
838.0,"(19.0615644, 72.8559107)",19.061564399999998,72.85591070000001,31199370.0
585.0,"(19.1969201, 72.876083)",19.1969201,72.876083,4599050.0
990.0,"(19.0615644, 72.8559107)",19.061564399999998,72.85591070000001,35998200.0
,"(19.0993813, 72.84472889999999)",19.0993813,72.84472889999998,25300000.0
,"(19.0855298, 72.9117248)",19.0855298,72.9117248,
,"(19.0050898, 72.83160509999999)",19.0050898,72.83160509999998,
,"(19.0479104, 72.8589638)",19.0479104,72.8589638,
,"(19.0282347, 72.8785587)",19.0282347,72.8785587,30600000.0
,"(18.9996394, 72.8253737)",18.999639399999996,72.82537370000001,50450000.0
,"(19.13679, 72.9306759)",19.136789999999998,72.93067590000001,23700000.0
,"(18.9541664, 72.81955640000001)",18.9541664,72.81955640000002,
,"(19.0266001, 72.8785814)",19.026600100000003,72.8785814,37150000.0
,"(19.0174761, 72.83248139999999)",19.017476100000003,72.83248139999998,
495.0,"(19.1631138, 72.9380904)",19.1631138,72.93809040000001,5999700.0
350.0,"(19.0088678, 72.8573828)",19.0088678,72.8573828,1099500.0
1400.0,"(19.144455, 72.82492599999999)",19.144454999999997,72.82492599999998,25999000.0
1105.0,"(19.160481, 72.9454193)",19.160481,72.9454193,24997550.0
1550.0,"(19.144455, 72.82492599999999)",19.144454999999997,72.82492599999998,46002000.0
,"(18.9728424, 72.83363899999999)",18.9728424,72.83363899999998,
,"(19.0747117, 72.9176813)",19.074711699999998,72.9176813,16647500.0
,"(19.0276124, 72.8410761)",19.0276124,72.8410761,
,"(19.0341646, 72.842186)",19.0341646,72.842186,
,"(18.9457286, 72.8311489)",18.945728600000002,72.8311489,13800000.0
,"(19.0880264, 72.9046444)",19.0880264,72.9046444,
,"(19.1402957, 72.8652097)",19.1402957,72.86520970000001,34400000.0
,"(19.0961371, 72.9190564)",19.0961371,72.9190564,19500000.0
,"(19.0261555, 72.8438161)",19.026155499999998,72.8438161,170000000.0
,"(19.0353849, 72.8423036)",19.0353849,72.8423036,39250000.0
410.0,"(19.1878099, 72.845366)",19.187809899999998,72.845366,3899550.0
625.0,"(19.1367393, 72.9317595)",19.136739300000002,72.9317595,10500000.0
300.0,"(19.1878099, 72.845366)",19.187809899999998,72.845366,4500000.0
980.0,"(19.144455, 72.82492599999999)",19.144454999999997,72.82492599999998,22000500.0
980.0,"(19.1438971, 72.8427707)",19.1438971,72.8427707,17001500.0
,"(19.0380334, 72.8537589)",19.038033399999996,72.8537589,7988000.0
,"(19.0694678, 72.8371504)",19.0694678,72.83715040000001,56250000.0
,"(19.0650829, 72.83569530000001)",19.0650829,72.83569530000003,
,"(19.0672579, 72.8379929)",19.0672579,72.8379929,
,"(19.0773781, 72.8298537)",19.0773781,72.8298537,55300000.0
,"(19.0671554, 72.8329424)",19.067155399999997,72.83294240000001,51500000.0
,"(19.1008731, 72.8457775)",19.1008731,72.8457775,37650000.0
,"(19.1201277, 72.84289629999999)",19.1201277,72.84289629999998,
,"(19.1926252, 72.8385253)",19.1926252,72.8385253,13899999.999999998
,"(19.0959575, 72.88739679999999)",19.0959575,72.88739679999998,
476.0,"(18.9994335, 72.8448332)",18.9994335,72.84483320000001,14499480.0
530.0,"(19.172349, 72.881314)",19.172349,72.881314,4998950.0
500.0,"(19.1969201, 72.876083)",19.1969201,72.876083,6500000.0
749.0,"(19.144455, 72.82492599999999)",19.144454999999997,72.82492599999998,13999405.0
1250.0,"(19.160481, 72.9454193)",19.160481,72.9454193,21500000.0
,"(19.0024302, 72.8490791)",19.0024302,72.8490791,
,"(19.1490839, 72.8390507)",19.149083899999997,72.8390507,22150000.0
,"(19.1295977, 72.8373776)",19.129597699999998,72.8373776,26000000.0
,"(19.0616588, 72.9261243)",19.061658800000004,72.9261243,
,"(19.156474, 72.9296519)",19.156474,72.92965190000001,3750000.0
,"(19.0716521, 72.8326656)",19.0716521,72.8326656,59200000.0
,"(19.0542873, 72.8335647)",19.054287300000002,72.8335647,
,"(19.0641325, 72.9240619)",19.0641325,72.92406190000001,
,"(19.0655502, 72.9216947)",19.065550199999997,72.9216947,20100000.0
,"(19.072908, 72.82993150000001)",19.072907999999998,72.82993150000001,
550.0,"(19.0109799, 72.851241)",19.0109799,72.851241,13501250.0
490.0,"(19.0638046, 72.8920434)",19.0638046,72.8920434,8300300.0
700.0,"(19.160481, 72.9454193)",19.160481,72.9454193,11999000.0
485.0,"(19.2228758, 72.8421784)",19.2228758,72.84217840000001,9000800.0
570.0,"(19.1969201, 72.876083)",19.1969201,72.876083,6999800.0
,"(19.2447186, 72.85156049999999)",19.244718600000002,72.85156049999998,
,"(19.0182594, 72.8281884)",19.018259399999998,72.8281884,
,"(19.1333829, 72.9356851)",19.1333829,72.93568509999999,18200000.0
,"(19.083034, 72.88888)",19.083034,72.88888,
,"(18.9901402, 72.82127129999999)",18.9901402,72.82127129999998,121650000.0
,"(19.0527742, 72.8732811)",19.052774199999998,72.8732811,
,"(19.0389455, 72.8420546)",19.038945499999997,72.8420546,
,"(19.1153163, 72.85108749999999)",19.1153163,72.85108749999998,63600000.0
,"(19.0017924, 72.82495899999999)",19.0017924,72.82495899999998,120200000.0
,"(19.0690922, 72.8616594)",19.0690922,72.86165940000001,24550000.0
1060.0,"(19.1953018, 72.8398395)",19.195301800000003,72.8398395,14598100.0
521.0,"(19.071795, 72.86294199999999)",19.071795,72.86294199999998,10499075.0
850.0,"(19.144455, 72.82492599999999)",19.144454999999997,72.82492599999998,24002000.0
746.0,"(19.160481, 72.9454193)",19.160481,72.9454193,10698820.0
225.0,"(19.1878099, 72.845366)",19.187809899999998,72.845366,2949875.0
,"(19.1333829, 72.9356851)",19.1333829,72.93568509999999,15750000.0
,"(19.0272051, 72.8591977)",19.0272051,72.85919770000001,
,"(18.968501, 72.8259285)",18.968501,72.8259285,
,"(19.683248, 72.750856)",19.683248000000003,72.750856,
,"(19.104658, 72.852273)",19.104657999999997,72.852273,51700000.0
,"(19.0260169, 72.8439259)",19.0260169,72.8439259,25850000.0
,"(19.0374869, 72.8497862)",19.037486899999998,72.84978620000001,7736500.0
,"(19.0260169, 72.8439259)",19.0260169,72.8439259,28250000.0
,"(19.2242681, 72.8631418)",19.2242681,72.8631418,26050000.0
,"(19.218291, 72.866805)",19.218291,72.866805,
600.0,"(19.1969201, 72.876083)",19.1969201,72.876083,8599000.0
700.0,"(19.2438394, 72.86778819999999)",19.2438394,72.86778819999998,14000000.0
300.0,"(19.1725542, 72.942537)",19.1725542,72.942537,3999500.0
1150.0,"(19.1752424, 72.9710389)",19.1752424,72.97103890000001,22502750.0
1250.0,"(19.1979771, 72.87249179999999)",19.1979771,72.87249179999998,14600000.0
,"(19.0188042, 72.8301195)",19.018804199999998,72.8301195,137700000.0
,"(19.005184, 72.825239)",19.005184,72.825239,
