price,title,longitude,latitude,floor,furnishing,tenants preferred,bathroom,facing,availability,car parking,balcony,owner resides,overlooking
"₹ 9,500",2 BHK House for rent in Chengalpet 950 sqft,,,,Unfurnished,Bachelors/Family,2,,Immediately,,,,
₹ 2 Lac,"4 BHK Apartment for rent in Ceebros One 74, MRC Nagar, Raja Annamalai Puram 3700 sqft",13.018637,80.273247,,,,,,,,,,
"₹ 35,000","3 BHK Villa for rent in Neelankarai, E Coast Road 1800 sqft",12.94731616973877,80.2547607421875,,Semi-Furnished,Bachelors/Family,3,North,Immediately,,3,,"Garden/Park, Main Road"
"₹ 10,000",2 BHK Builder Floor for rent in Pozhichalur 1005 sqft,12.986149787902832,80.13738250732422,Ground out of 1 Floor,Semi-Furnished,Bachelors/Family,2,North,Immediately,1 Covered,,,Main Road
"₹ 30,000","3 BHK Apartment for rent in Akshaya Metropolis, Maraimalai Nagar 1957 sqft",12.7741438150406,80.0112444162369,,,,,,,,,,
"₹ 35,000","3 BHK Builder Floor for rent in Anna Nagar West Extension, Ambattur Estate Road 1350 sqft",13.061588287353516,80.1932601928711,2 out of 3 Floors,Furnished,Family,3,East,Immediately,"1 Covered, 1 Open",,,"Garden/Park, Main Road"
"₹ 7,000","1 BHK Apartment for rent in Bundar Rama Garden, George Town",,,Ground out of 2 Floors,Unfurnished,Bachelors/Family,1,East,Immediately,,1,Same Premise,Main Road
"₹ 8,500",1 BHK Apartment for rent in Nehru Nagar-Saligramam,13.060229301452637,80.20115661621094,Ground out of 2 Floors,Unfurnished,Bachelors/Family,1,,Immediately,,,,
₹ 1.8 Lac,3 BHK Apartment for rent in Madras Boat Club Road 1900 sqft,13.057518005371094,80.22501373291016,4 out of 4 Floors,Unfurnished,Bachelors,3,East,Immediately,"1 Covered, 1 Open",1,,Main Road
"₹ 10,000","3 BHK House for rent in Project Park Dugar, Porur 250 sqft",13.0262062474943,80.1742982640613,,,,,,,,,,
"₹ 20,000",2 BHK Builder Floor for rent in Choolaimedu 1100 sqft,13.061540603637695,80.22232818603516,1 out of 2 Floors,Furnished,Bachelors,2,North,Immediately,,4,,"Garden/Park, Main Road"
"₹ 17,000",2 BHK Apartment for rent in Saidapet 720 sqft,,,Ground out of 1 Floor,Semi-Furnished,Bachelors/Family,2,East,Immediately,,,,
"₹ 14,000",2 BHK House for rent in Porur 1000 sqft,,,,Semi-Furnished,Bachelors/Family,2,East,Immediately,,,,
"₹ 6,000",1 BHK House for rent in Arakkonam,13.074247360229492,79.66032409667969,1 out of 2 Floors,Furnished,Bachelors/Family,1,,Immediately,,1,,
"₹ 34,000","3 BHK Apartment for rent in Hiranandani Seawood, Egattur, Uthandi 1749 sqft",12.501238,80.135657,,,,,,,,,,
"₹ 38,000","2 BHK House for rent in Karpagam Avenue, Raja Annamalai Puram 1350 sqft",,,2 out of 2 Floors,Furnished,Bachelors/Family,2,,Immediately,,2,,
"₹ 27,000","3 BHK House for rent in Neelankarai, E Coast Road 1600 sqft",,,,Semi-Furnished,Bachelors/Family,3,,Immediately,,,,
"₹ 20,000","2 BHK Apartment for rent in Trustpuram, Kodambakkam 900 sqft",13.052017211914062,80.21369171142578,1 out of 3 Floors,Semi-Furnished,Bachelors/Family,2,,Immediately,,2,,
"₹ 10,000",1 BHK Apartment for rent in Adambakkam,,,1 out of 2 Floors,Unfurnished,Bachelors/Family,1,,Immediately,,,,
₹ 2.5 Lac,"4 BHK House for rent in Gandhi Nagar Adyar, Adyar 6000 sqft",,,2 out of 2 Floors,Unfurnished,Bachelors/Family,4,,Immediately,,1,,Garden/Park
"₹ 35,000","3 BHK Apartment for rent in Prestige Bella Vista, Iyyappanthangal 1791 sqft",13.039969,80.131572,,,,,,,,,,
"₹ 40,000","4 BHK Apartment for rent in Prestige Bella Vista, Iyyappanthangal 2621 sqft",13.039969,80.131572,,,,,,,,,,
"₹ 11,000","3 BHK House for rent in Pammal, Chennai Bypass Road 1030 sqft",12.973403930664062,80.1319351196289,1 out of 1 Floor,Unfurnished,Bachelors/Family,2,,Immediately,,,,
"₹ 10,500","2 BHK Builder Floor for rent in Vijayalakshmi Puram, Ambattur, Surappattu Road 780 sqft",,,1 out of 1 Floor,Semi-Furnished,Family,1,East,Immediately,,1,,Main Road
"₹ 65,000",3 BHK Builder Floor for rent in Besant Nagar 2000 sqft,,,Ground out of 3 Floors,Furnished,Bachelors/Family,3,East,Immediately,"1 Covered, 1 Open",,,Garden/Park
"₹ 30,000","4 BHK Apartment for rent in Ozone Greens, Perumbakkam 2570 sqft",12.911072,80.203333,,,,,,,,,,
"₹ 32,000",3 BHK House for rent in Saligramam 1600 sqft,,,Ground out of 2 Floors,Semi-Furnished,Family,3,West,Immediately,1 Covered,,Same Premise,
"₹ 55,000",3 BHK Apartment for rent in Anna Nagar West 2062 sqft,13.07844352722168,80.21522521972656,12 out of 15 Floors,Furnished,Bachelors/Family,4,East,Immediately,,,,Garden/Park
"₹ 26,000",3 BHK Apartment for rent in Maraimalai Nagar 1700 sqft,,,8 out of 9 Floors,Semi-Furnished,Bachelors/Family,3,,Immediately,1 Covered,2,,
