price,longitude,latitude,bathroom,coord,bhk,sqft
35000.0,13.044105,80.204059,,"(13.0434459, 80.2037385)",3.0,1650.0
12000.0,78.486671,17.385044,,"(17.385044, 78.486671)",2.0,900.0
32000.0,13.032321,80.164703,,"(13.036539, 80.151016)",3.0,1850.0
20000.0,13.0716094970703,80.2174987792969,,"(17.385044, 78.486671)",2.0,1100.0
5000.0,78.486671,17.385044,,"(17.385044, 78.486671)",1.0,
17000.0,12.864663124084473,80.07218170166016,,"(17.385044, 78.486671)",3.0,1650.0
20000.0,78.486671,17.385044,,"(17.385044, 78.486671)",2.0,1500.0
35000.0,13.07262134552002,80.2421646118164,,"(17.385044, 78.486671)",3.0,1548.0
35000.0,13.057479858398438,80.22500610351562,,"(17.365589, 78.3835527)",3.0,1850.0
18000.0,78.486671,17.385044,,"(17.385044, 78.486671)",4.0,1800.0
20000.0,12.7741438150406,80.0112444162369,,"(12.7735368, 80.011442)",3.0,1749.0
12000.0,80.2235188,13.053446699999999,,"(13.0534467, 80.2235188)",2.0,800.0
15000.0,13.025228742784106,80.18945824081425,,"(17.385044, 78.486671)",2.0,920.0
17000.0,12.93899631500244,80.24339294433594,,"(17.385044, 78.486671)",2.0,1000.0
3500.0,10.075729370117188,78.79412841796875,,"(13.0343952, 80.1623367)",1.0,
45000.0,12.99952793121338,80.25957489013672,,"(12.9981914, 80.2583767)",3.0,1900.0
28000.0,13.10046,80.18918680670279,,"(13.0999013, 80.1890397)",3.0,1500.0
70000.0,78.56679489999998,17.3635077,,"(17.3635077, 78.56679489999999)",3.0,2700.0
35000.0,13.057525634765625,80.22505950927734,,"(17.4508429, 78.4786192)",3.0,1800.0
10000.0,13.04335880279541,80.2005844116211,,"(17.385044, 78.486671)",2.0,950.0
15000.0,13.04335880279541,80.2005844116211,,"(17.385044, 78.486671)",2.0,1026.0
15000.0,78.3835527,17.365589,,"(17.365589, 78.3835527)",2.0,850.0
13500.0,12.88958,80.1743483333333,,"(12.8897648, 80.1740179)",2.0,910.0
16000.0,78.486671,17.385044,,"(17.385044, 78.486671)",2.0,900.0
26000.0,13.051987648010256,80.2333984375,,"(17.3635077, 78.56679489999999)",2.0,1300.0
8000.0,78.486671,17.385044,,"(17.385044, 78.486671)",2.0,860.0
26000.0,13.064058303833008,80.18938446044922,,"(17.4371776, 78.5044874)",2.0,1300.0
33000.0,13.063887596130373,80.18937683105469,,"(17.3635077, 78.56679489999999)",2.0,1150.0
25000.0,78.486671,17.385044,,"(17.385044, 78.486671)",3.0,1600.0
9000.0,78.486671,17.385044,,"(17.385044, 78.486671)",2.0,1100.0
14000.0,78.486671,17.385044,,"(17.385044, 78.486671)",3.0,1600.0
12000.0,80.1032875,13.1264468,,"(13.1264468, 80.1032875)",2.0,907.0
38000.0,80.24823289999998,13.0065799,,"(13.0065799, 80.24823289999999)",2.0,1300.0
13000.0,12.917142868042,80.1923522949219,,"(17.385044, 78.486671)",2.0,1080.0
8500.0,13.0335838304034,80.17313024568061,,"(17.385044, 78.486671)",1.0,
18000.0,80.21517800000002,12.963778,,"(12.963778, 80.21517800000001)",3.0,1750.0
36000.0,13.064058303833008,80.18939971923828,,"(17.4371776, 78.5044874)",2.0,1300.0
30000.0,13.063908576965332,80.18941497802734,,"(17.4371776, 78.5044874)",2.0,1350.0
30000.0,13.064046859741213,80.18939208984375,,"(17.385044, 78.486671)",2.0,1100.0
20000.0,78.486671,17.385044,,"(17.385044, 78.486671)",2.0,1200.0
18000.0,78.486671,17.385044,,"(17.385044, 78.486671)",3.0,1334.0
7500.0,78.486671,17.385044,,"(17.385044, 78.486671)",1.0,
10000.0,78.486671,17.385044,,"(17.385044, 78.486671)",1.0,
11000.0,78.486671,17.385044,,"(17.385044, 78.486671)",3.0,1000.0
7000.0,12.8321515,80.0723773,,"(12.8270573, 80.0753898)",2.0,758.0
12000.0,78.486671,17.385044,,"(17.385044, 78.486671)",2.0,900.0
15000.0,12.970059394836426,80.19371032714844,,"(17.385044, 78.486671)",3.0,1350.0
10000.0,78.486671,17.385044,,"(17.385044, 78.486671)",2.0,900.0
40000.0,78.40306329999999,17.494850800000002,,"(17.4948508, 78.4030633)",5.0,4800.0
10999.0,12.997015953063965,80.26214599609375,,"(17.385044, 78.486671)",,
9500.0,78.486671,17.385044,,"(17.385044, 78.486671)",2.0,700.0
22500.0,12.970717,80.24822840000002,,"(17.385044, 78.486671)",2.0,1200.0
35000.0,12.7741438150406,80.0112444162369,,"(12.7735368, 80.011442)",3.0,1956.0
8000.0,13.140547752380373,80.10897064208984,,"(17.385044, 78.486671)",2.0,1000.0
9000.0,13.029808044433596,80.15867614746094,,"(12.9929693, 80.1982038)",1.0,
16000.0,12.836018,80.156172,,"(12.8358141, 80.15615009999999)",2.0,1152.0
15000.0,80.24266309999999,13.058726199999999,,"(13.0587262, 80.2426631)",1.0,
8000.0,12.997197151184082,80.21047973632812,,"(17.385044, 78.486671)",1.0,
17000.0,78.486671,17.385044,,"(17.385044, 78.486671)",2.0,985.0
8000.0,78.486671,17.385044,,"(17.385044, 78.486671)",1.0,
20000.0,12.97480297088623,80.30760192871094,,"(13.0065799, 80.24823289999999)",1.0,
50000.0,12.9900237298152,80.2582754284445,,"(12.9899418, 80.2586353)",3.0,1600.0
18000.0,78.486671,17.385044,,"(17.385044, 78.486671)",4.0,2400.0
27000.0,13.003388404846193,80.25928497314453,,"(13.0065012, 80.25223059999999)",2.0,
50000.0,12.983258247375488,80.26066589355469,,"(13.0065799, 80.24823289999999)",3.0,1700.0
35000.0,12.969216346740724,80.2613754272461,,"(17.385044, 78.486671)",3.0,
22000.0,12.930341,80.196754,,"(12.9307482, 80.1967751)",3.0,2148.0
20000.0,78.486671,17.385044,,"(17.385044, 78.486671)",2.0,1300.0
7000.0,78.486671,17.385044,,"(17.385044, 78.486671)",1.0,
7500.0,12.898984909057615,80.16358184814453,,"(17.385044, 78.486671)",1.0,
13000.0,80.22274589999998,12.9771281,,"(12.9771281, 80.22274589999999)",2.0,950.0
10000.0,80.1251719,13.076020800000002,,"(13.0760208, 80.1251719)",2.0,800.0
,80.24882219999998,13.0224013,,"(13.0224013, 80.24882219999999)",4.0,4000.0
,80.25223059999998,13.006501199999999,,"(13.0065012, 80.25223059999999)",4.0,3100.0
,78.486671,17.385044,,"(17.385044, 78.486671)",5.0,4800.0
22000.0,13.0774507522583,80.2466049194336,,"(13.0857263, 80.2456735)",1.0,
13000.0,78.486671,17.385044,,"(17.385044, 78.486671)",2.0,810.0
12000.0,78.486671,17.385044,,"(17.385044, 78.486671)",2.0,900.0
30000.0,12.852055,80.229872,,"(12.8518453, 80.22984919999999)",3.0,1800.0
8500.0,80.228978,13.1175696,,"(13.1175696, 80.228978)",1.0,
12500.0,12.967118263244627,80.25931549072266,,"(17.385044, 78.486671)",2.0,950.0
20000.0,12.938127517700195,80.23991394042969,,"(17.385044, 78.486671)",2.0,900.0
26000.0,13.047353744506836,80.229736328125,,"(12.9771281, 80.22274589999999)",3.0,1400.0
,80.24882219999998,13.0224013,,"(13.0224013, 80.24882219999999)",4.0,4000.0
7500.0,80.1800043,13.0822085,,"(13.0822085, 80.1800043)",1.0,
15000.0,12.953842163085938,80.23625183105469,,"(17.385044, 78.486671)",2.0,1050.0
15000.0,78.486671,17.385044,,"(17.385044, 78.486671)",2.0,1100.0
11000.0,13.1000227186781,80.118889,,"(13.0994969, 80.1188458)",2.0,1000.0
15000.0,80.26434959999999,13.0543459,,"(13.0543459, 80.2643496)",2.0,700.0
8000.0,80.1966073,13.109253500000001,,"(13.1092535, 80.1966073)",1.0,
16000.0,12.97907829284668,80.21918487548828,,"(12.9771281, 80.22274589999999)",2.0,
46000.0,13.037887,80.137174,,"(13.0377355, 80.13722779999999)",3.0,1700.0
90000.0,78.486671,17.385044,,"(17.385044, 78.486671)",3.0,2100.0
12000.0,80.22212069999998,13.123841899999999,,"(13.1238419, 80.22212069999999)",2.0,900.0
42000.0,13.088595390319824,80.2098617553711,,"(17.4508429, 78.4786192)",2.0,1520.0
8000.0,13.115182876586914,80.18394470214844,,"(17.385044, 78.486671)",2.0,
10000.0,78.486671,17.385044,,"(17.385044, 78.486671)",2.0,950.0
10000.0,78.486671,17.385044,,"(17.385044, 78.486671)",,
18000.0,13.1095457077026,80.2051620483398,,"(13.1092535, 80.1966073)",2.0,1054.0
28000.0,13.0713182607811,80.2026452061096,,"(13.0721975, 80.2025305)",3.0,1434.0
9500.0,78.486671,17.385044,,"(17.385044, 78.486671)",2.0,1000.0
29500.0,13.0829483,80.174491,,"(13.0972962, 80.13313649999999)",2.0,1200.0
20500.0,80.1800043,13.0822085,,"(13.0822085, 80.1800043)",3.0,1210.0
12000.0,12.911314010620115,80.07550811767578,,"(12.9235577, 80.09766479999999)",2.0,2300.0
11000.0,78.486671,17.385044,,"(17.385044, 78.486671)",3.0,1200.0
23000.0,80.24823289999998,13.0065799,,"(13.0065799, 80.24823289999999)",2.0,855.0
25000.0,80.2456735,13.085726300000001,,"(13.0857263, 80.2456735)",2.0,1100.0
,80.23853302001953,13.016844749450685,,"(17.385044, 78.486671)",5.0,3500.0
15000.0,13.082679748535154,80.27072143554688,,"(17.385044, 78.486671)",3.0,2500.0
15500.0,13.03787612915039,80.22445678710938,,"(13.031169, 80.22357199999999)",2.0,850.0
,80.26066589355469,12.983258247375488,,"(13.0065799, 80.24823289999999)",4.0,2000.0
7000.0,78.486671,17.385044,,"(17.385044, 78.486671)",2.0,900.0
75000.0,78.486671,17.385044,,"(17.385044, 78.486671)",3.0,2500.0
40000.0,13.061073303222654,80.24298858642578,,"(13.0587262, 80.2426631)",3.0,125.0
15000.0,78.486671,17.385044,,"(17.385044, 78.486671)",3.0,1405.0
15000.0,78.47490379999998,17.446251800000002,,"(17.4462518, 78.47490379999999)",2.0,900.0
16000.0,13.100687026977539,80.28102111816406,,"(17.385044, 78.486671)",2.0,940.0
20000.0,80.21132419999998,13.0648934,,"(13.0648934, 80.21132419999999)",2.0,800.0
10500.0,78.486671,17.385044,,"(17.385044, 78.486671)",2.0,950.0
50000.0,13.032589137458999,80.2443099088954,,"(13.0318369, 80.244917)",3.0,1500.0
23000.0,12.817382,80.040285,,"(12.8173725, 80.0400986)",3.0,1125.0
,13.124099731445312,80.21339416503906,,"(13.1238419, 80.22212069999999)",2.0,1200.0
14000.0,78.486671,17.385044,,"(17.385044, 78.486671)",3.0,1200.0
11000.0,12.635848999023438,79.93355560302734,,"(17.385044, 78.486671)",2.0,750.0
23000.0,13.039969,80.13157199999998,,"(13.0435615, 80.13013020000001)",2.0,1340.0
45000.0,13.039969,80.13157199999998,,"(13.0435615, 80.13013020000001)",4.0,2277.0
7500.0,78.486671,17.385044,,"(17.385044, 78.486671)",1.0,
14500.0,78.486671,17.385044,,"(17.385044, 78.486671)",2.0,1200.0
8000.0,80.15410279999998,13.1274616,,"(13.1274616, 80.15410279999999)",2.0,850.0
,12.91539478302002,80.25042724609375,,"(17.385044, 78.486671)",5.0,5000.0
15000.0,78.486671,17.385044,,"(17.385044, 78.486671)",2.0,1089.0
50000.0,13.070077893733801,80.240801733371,,"(13.0694566, 80.2395629)",3.0,2500.0
18000.0,12.95990661,80.21455783,,"(12.9602103, 80.213365)",2.0,900.0
55000.0,13.050149,80.211256,,"(13.0510686, 80.21095969999999)",3.0,1900.0
30000.0,12.975553512573242,80.20771026611328,,"(17.385044, 78.486671)",2.0,1251.0
10000.0,78.486671,17.385044,,"(17.385044, 78.486671)",1.0,
10000.0,80.2295152,12.9179203,,"(12.9179203, 80.2295152)",2.0,612.0
50000.0,13.061527252197266,80.19325256347656,,"(17.4508429, 78.4786192)",3.0,1500.0
13500.0,78.486671,17.385044,,"(17.385044, 78.486671)",2.0,920.0
25000.0,80.1800043,13.0822085,,"(13.0822085, 80.1800043)",2.0,2100.0
19000.0,12.92454719543457,80.18394470214844,,"(12.9246773, 80.183803)",3.0,1332.0
16000.0,80.19695430000002,13.0630671,,"(13.0630671, 80.19695430000002)",2.0,1150.0
15000.0,13.049220085144045,80.22977447509766,,"(17.385044, 78.486671)",2.0,1000.0
55000.0,13.082507,80.19475899999998,,"(13.0823429, 80.19479059999999)",3.0,2062.0
