,title,price_per_month,deposit,rooms,baths,FOR FAMILY,FOR SINGLE MEN,FOR SINGLE WOMEN,FURNISHED,price
17947,1 BHK Flat for rent in Goregaon (East),"₹ 35,000",₹ 125000,BHK1,1,1.0,1.0,1.0,,"['₹', '35,000', '/monthDeposit', '₹', '125000']"
17948,2 BHK Flat for rent in Hiranandani Estate,"₹ 24,000",month(s) rent,BHK2,2,1.0,,,,"['₹', '24,000', '/monthDeposit', '6', 'month(s)', 'rent']"
17949,1 BHK Flat for rent in Marol,"₹ 30,000",₹ 100000,BHK2,2,1.0,1.0,1.0,1.0,"['₹', '30,000', '/monthDeposit', '₹', '100000']"
17950,3 BHK Flat for rent in Parel,₹ 2.4,Lac /month,BHK3,3,1.0,1.0,1.0,,"['₹', '2.4', 'Lac', '/month']"
17951,1 BHK Flat for rent in Hiranandani Estate,"₹ 22,000",₹ 140000,BHK2,2,1.0,1.0,1.0,1.0,"['₹', '22,000', '/monthDeposit', '₹', '140000']"
17952,1 BHK Flat for rent in Sector-3 Ulwe,₹ 7500,₹ 35000,BHK2,2,1.0,1.0,1.0,,"['₹', '7500', '/monthDeposit', '₹', '35000']"
17953,2 BHK Flat for rent in Mulund (West),"₹ 29,000",₹ 150000,BHK2,2,1.0,,,1.0,"['₹', '29,000', '/monthDeposit', '₹', '150000']"
17954,2 BHK Flat for rent in Sector-58 Seawoods,"₹ 42,000",₹ 250000,BHK2,2,1.0,,,,"['₹', '42,000', '/monthDeposit', '₹', '250000']"
17955,2 BHK Flat for rent in Ghatkopar West,"₹ 48,005",₹ 200000,BHK2,2,1.0,1.0,,,"['₹', '48,005', '/monthDeposit', '₹', '200000']"
17956,2 BHK Flat for rent in Ghatkopar West,"₹ 50,001",₹ 200000,BHK2,2,1.0,1.0,,,"['₹', '50,001', '/monthDeposit', '₹', '200000']"
17957,1 BHK Flat for rent in Andheri (East),"₹ 32,000",₹ 100000,BHK1,1,1.0,,,,"['₹', '32,000', '/monthDeposit', '₹', '100000']"
17958,3 BHK Flat for rent in Sector-50 Seawoods,"₹ 50,000",month(s) rent,BHK3,3,1.0,,,,"['₹', '50,000', '/monthDeposit', '4', 'month(s)', 'rent']"
17959,2 BHK Flat for rent in Bandra (West),"₹ 75,000",₹ 200000,BHK2,2,,,,1.0,"['₹', '75,000', '/monthDeposit', '₹', '200000']"
17960,2 BHK Flat for rent in Kharghar,"₹ 17,000",₹ 75000,BHK2,2,1.0,,,,"['₹', '17,000', '/monthDeposit', '₹', '75000']"
17961,2 BHK Flat for rent in Sector-31 Kamothe,"₹ 15,000",₹ 60000,BHK2,2,1.0,,,,"['₹', '15,000', '/monthDeposit', '₹', '60000']"
17962,2 BHK Flat for rent in Sector-30 Ghansoli,"₹ 30,000",₹ 100000,BHK2,2,1.0,,,,"['₹', '30,000', '/monthDeposit', '₹', '100000']"
17963,1 BHK Flat for rent in Sector 5 Ulwe,₹ 8000,₹ 25000,BHK1,1,1.0,,,,"['₹', '8000', '/monthDeposit', '₹', '25000']"
17964,2 BHK Flat for rent in kurla (west),"₹ 36,900",₹ 100000,BHK2,2,1.0,1.0,1.0,,"['₹', '36,900', '/monthDeposit', '₹', '100000']"
17965,2 BHK Flat for rent in Malad (West),"₹ 44,000",₹ 200000,BHK2,2,1.0,,,,"['₹', '44,000', '/monthDeposit', '₹', '200000']"
17966,2 BHK Flat for rent in Malad (West),"₹ 44,000",₹ 200000,BHK2,2,1.0,,,,"['₹', '44,000', '/monthDeposit', '₹', '200000']"
17967,2 BHK Flat for rent in Sector 15 Belapur,"₹ 52,000",month(s) rent,BHK2,2,1.0,,,1.0,"['₹', '52,000', '/monthDeposit', '4', 'month(s)', 'rent']"
17968,2 BHK Flat for rent in Wadala,"₹ 62,000",₹ 200000,BHK2,2,1.0,1.0,1.0,,"['₹', '62,000', '/monthDeposit', '₹', '200000']"
17969,1 BHK Flat for rent in Dombivli (East),₹ 8500,₹ 50000,BHK1,1,1.0,1.0,1.0,,"['₹', '8500', '/monthDeposit', '₹', '50000']"
17970,2 BHK Flat for rent in Sector 3 Charkop,"₹ 32,000",₹ 150000,BHK2,2,1.0,,,,"['₹', '32,000', '/monthDeposit', '₹', '150000']"
17971,2 BHK Flat for rent in Dadar (West),"₹ 85,000",₹ 300000,BHK2,2,1.0,1.0,1.0,,"['₹', '85,000', '/monthDeposit', '₹', '300000']"
17972,1 BHK Flat for rent in Dadar (West),"₹ 45,000",₹ 100000,BHK1,1,1.0,1.0,1.0,,"['₹', '45,000', '/monthDeposit', '₹', '100000']"
17973,2 BHK Flat for rent in Maharashtra Nagar,"₹ 32,000",₹ 100000,BHK2,2,1.0,,,,"['₹', '32,000', '/monthDeposit', '₹', '100000']"
17974,1 BHK Flat for rent in Hiranandani Estate,"₹ 23,000",₹ 100000,BHK2,2,1.0,,,,"['₹', '23,000', '/monthDeposit', '₹', '100000']"
17975,2 BHK Flat for rent in Kolshet Road,"₹ 25,000",₹ 150000,BHK2,2,1.0,,,,"['₹', '25,000', '/monthDeposit', '₹', '150000']"
17976,1 BHK Flat for rent in Sector-20 Koparkhairane,"₹ 24,000",₹ 100000,BHK1,1,1.0,1.0,1.0,1.0,"['₹', '24,000', '/monthDeposit', '₹', '100000']"
17977,3 BHK Flat for rent in Hiranandani Gardens - Powai,"₹ 70,000",₹ 300000,BHK3,3,1.0,,,,"['₹', '70,000', '/monthDeposit', '₹', '300000']"
17978,1 BHK Flat for rent in Century Bazaar,"₹ 22,000",₹ 50000,BHK1,1,1.0,1.0,1.0,,"['₹', '22,000', '/monthDeposit', '₹', '50000']"
17979,3 BHK Flat for rent in Hiranandani Meadows,"₹ 59,000",month(s) rent,BHK3,3,1.0,,,,"['₹', '59,000', '/monthDeposit', '6', 'month(s)', 'rent']"
17980,2 BHK Flat for rent in Hiranandani Gardens - Powai,"₹ 62,000",₹ 225000,BHK2,2,1.0,1.0,1.0,,"['₹', '62,000', '/monthDeposit', '₹', '225000']"
17981,3 BHK Flat for rent in Mahalaxmi,₹ 2.6,₹ 1000000,BHK4,4,1.0,1.0,1.0,,"['₹', '2.6', 'Lac', '/monthDeposit', '₹', '1000000']"
17982,3 BHK Flat for rent in Jankalyan Nagar,"₹ 39,000",₹ 100000,BHK3,3,1.0,,,,"['₹', '39,000', '/monthDeposit', '₹', '100000']"
17983,2 BHK Flat for rent in Sector-30 Belapur,"₹ 35,000",₹ 200000,BHK2,2,1.0,1.0,,,"['₹', '35,000', '/monthDeposit', '₹', '200000']"
17984,1 BHK Flat for rent in Sector-19 Airoli,"₹ 20,500",₹ 100000,BHK1,1,1.0,,,,"['₹', '20,500', '/monthDeposit', '₹', '100000']"
17985,2 BHK Flat for rent in Majiwada,"₹ 26,000",month(s) rent,BHK2,2,1.0,1.0,1.0,,"['₹', '26,000', '/monthDeposit', '5', 'month(s)', 'rent']"
17986,1 BHK Flat for rent in Marol,"₹ 42,000",₹ 150000,BHK2,2,1.0,1.0,1.0,,"['₹', '42,000', '/monthDeposit', '₹', '150000']"
17987,2 BHK Flat for rent in Sector 15 Kopar Khairane,"₹ 25,000",₹ 80000,BHK2,2,1.0,,,,"['₹', '25,000', '/monthDeposit', '₹', '80000']"
17988,1 BHK Flat for rent in Hiranandani Estate,"₹ 22,000",₹ 132000,BHK2,2,1.0,,,,"['₹', '22,000', '/monthDeposit', '₹', '132000']"
17989,3 BHK Flat for rent in Parel,₹ 1.45,₹ 500000,BHK4,4,1.0,1.0,1.0,,"['₹', '1.45', 'Lac', '/monthDeposit', '₹', '500000']"
17990,3 BHK Flat for rent in Jeejamata Nagar,"₹ 45,000",₹ 150000,BHK3,3,1.0,,,,"['₹', '45,000', '/monthDeposit', '₹', '150000']"
17991,1 BHK Flat for rent in Sector-25 Khandeshhwar,"₹ 13,501",₹ 50000,BHK1,1,1.0,,,,"['₹', '13,501', '/monthDeposit', '₹', '50000']"
17992,2 BHK Flat for rent in Kandivali (West),"₹ 35,000",₹ 200000,BHK2,2,1.0,,,,"['₹', '35,000', '/monthDeposit', '₹', '200000']"
17993,1 BHK Flat for rent in Sector 23 Nerul,"₹ 18,000",₹ 70000,BHK1,1,1.0,,1.0,,"['₹', '18,000', '/monthDeposit', '₹', '70000']"
17994,3 BHK Flat for rent in Bandra (West),₹ 1.9,₹ 250000,BHK3,3,1.0,,,1.0,"['₹', '1.9', 'Lac', '/monthDeposit', '₹', '250000']"
17995,4 BHK Flat for rent in Bandra (West),₹ 3,₹ 700000,BHK4,4,1.0,,,1.0,"['₹', '3', 'Lac', '/monthDeposit', '₹', '700000']"
17996,4 BHK Flat for rent in Bandra (West),₹ 3,₹ 800000,BHK4,4,1.0,,,1.0,"['₹', '3', 'Lac', '/monthDeposit', '₹', '800000']"
17997,4 BHK Flat for rent in Bandra (West),₹ 3,₹ 800000,BHK4,4,1.0,,,1.0,"['₹', '3', 'Lac', '/monthDeposit', '₹', '800000']"
17998,3 BHK Flat for rent in Sector-58 Seawoods,"₹ 55,000",₹ 225000,BHK3,3,1.0,1.0,1.0,,"['₹', '55,000', '/monthDeposit', '₹', '225000']"
17999,1 BHK Flat for rent in Bhandup (West),"₹ 22,000",₹ 100000,BHK2,2,1.0,1.0,1.0,,"['₹', '22,000', '/monthDeposit', '₹', '100000']"
18000,2 BHK Flat for rent in Palm Beach,"₹ 38,000",₹ 200000,BHK2,2,1.0,1.0,1.0,,"['₹', '38,000', '/monthDeposit', '₹', '200000']"
18001,3 BHK Flat for rent in Sector 21 Kharghar,"₹ 28,000","28,000 /month",BHK3,3,1.0,,,,"['₹', '28,000', '/month']"
18002,2 BHK Flat for rent in Goregaon (East),"₹ 46,000",₹ 200000,BHK2,2,1.0,,,,"['₹', '46,000', '/monthDeposit', '₹', '200000']"
18003,2 BHK Flat for rent in Kasar vadavali,"₹ 14,900",₹ 60000,BHK2,2,1.0,,,,"['₹', '14,900', '/monthDeposit', '₹', '60000']"
18004,3 BHK Flat for rent in Borivali (East),"₹ 50,000",₹ 250000,BHK3,3,1.0,,,,"['₹', '50,000', '/monthDeposit', '₹', '250000']"
18005,2 BHK Flat for rent in Dombivli (East),"₹ 22,000",₹ 100000,BHK2,2,1.0,1.0,1.0,,"['₹', '22,000', '/monthDeposit', '₹', '100000']"
18006,2 BHK Flat for rent in Vikhroli (East),"₹ 65,000",₹ 250000,BHK2,2,1.0,,,,"['₹', '65,000', '/monthDeposit', '₹', '250000']"
18007,2 BHK Flat for rent in Kandivali (West),"₹ 30,000",₹ 150000,BHK2,2,1.0,,,,"['₹', '30,000', '/monthDeposit', '₹', '150000']"
18008,2 BHK Flat for rent in Hiranandani Estate,"₹ 27,000",₹ 100000,BHK2,2,1.0,,,,"['₹', '27,000', '/monthDeposit', '₹', '100000']"
