,avg_price_sqft,Built Up Area,coord,lat,lng,lo_price,hi_price,one_price
73,,,"(19.1656736, 72.8585435)",19.1656736,72.85854350000001,14500000.0,24500000.0,
74,,,"(19.1898861, 72.8354552)",19.1898861,72.8354552,14500000.0,23300000.0,
75,26360.0,1290.0,"(19.0357714, 72.85745159999999)",19.035771399999998,72.85745159999998,,,34000000.0
76,22770.0,1449.0,"(19.1146891, 72.89624189999999)",19.1146891,72.89624189999998,,,33000000.0
77,36280.0,1450.0,"(18.9946505, 72.8348992)",18.9946505,72.83489920000001,,,52600000.0
78,35860.0,1450.0,"(18.9946505, 72.8348992)",18.9946505,72.83489920000001,,,52000000.0
79,34870.0,1150.0,"(18.9946505, 72.8348992)",18.9946505,72.83489920000001,,,40100000.0
80,,,"(19.191909, 72.8351595)",19.191909,72.8351595,18700000.0,31400000.0,
81,,,"(19.1660719, 72.9345506)",19.1660719,72.9345506,12600000.0,77100000.0,
82,,,"(18.9967566, 72.8277926)",18.9967566,72.8277926,32200000.000000004,32300000.0,
83,,,"(19.0533734, 72.8745407)",19.053373399999998,72.8745407,15900000.0,24200000.0,
84,,,"(19.1241789, 72.91521829999999)",19.1241789,72.91521829999998,14400000.0,16500000.0,
85,,,"(18.954797, 72.82254879999999)",18.954797,72.82254879999998,,,
86,,,"(18.9732592, 72.8323549)",18.9732592,72.83235490000001,28900000.0,36900000.0,
87,,,"(19.1444809, 72.9343501)",19.144480899999998,72.93435009999999,8500000.0,12500000.0,
88,,,"(19.175293, 72.9561174)",19.175293,72.95611740000001,9990000.0,13600000.000000002,
89,,,"(19.0045997, 72.8493739)",19.0045997,72.8493739,37500000.0,111100000.0,
90,8870.0,2650.0,"(19.1662566, 72.8525696)",19.1662566,72.8525696,,,23500000.0
91,15920.0,980.0,"(19.1743576, 72.9627471)",19.1743576,72.96274709999999,,,15600000.0
92,35830.0,1200.0,"(19.060574, 72.85043999999999)",19.060574,72.85043999999998,,,43000000.0
93,62500.0,1200.0,"(18.9773318, 72.8087718)",18.977331799999998,72.8087718,,,75000000.0
94,21000.0,962.0,"(19.0461248, 72.9132122)",19.0461248,72.9132122,,,20200000.0
95,,,"(19.1582728, 72.9454583)",19.1582728,72.9454583,22100000.0,59600000.0,
96,,,"(19.1141602, 72.9357502)",19.114160199999997,72.9357502,7226000.000000001,12900000.0,
97,,,"(19.1612887, 72.93846789999999)",19.1612887,72.93846789999998,7900000.0,11500000.0,
98,,,"(19.091282, 72.91643040000001)",19.091282,72.91643040000002,27500000.0,47800000.0,
99,,,"(19.1474631, 72.9259218)",19.147463100000003,72.9259218,8100000.0,9491000.0,
100,,,"(19.1780266, 72.87170619999999)",19.1780266,72.87170619999998,15400000.0,17200000.0,
101,,,"(19.1497906, 72.93267949999999)",19.149790600000003,72.93267949999998,10500000.0,13500000.0,
102,,,"(19.0372959, 72.87871)",19.037295899999997,72.87871,16399999.999999998,40000000.0,
103,,,"(19.1298829, 72.8361467)",19.1298829,72.8361467,24800000.0,33000000.0,
104,,,"(19.0638046, 72.8920434)",19.0638046,72.8920434,18900000.0,27900000.0,
105,19760.0,835.0,"(19.2198888, 72.8618982)",19.2198888,72.86189820000001,,,16500000.0
106,32000.0,450.0,"(19.0200623, 72.8353928)",19.020062300000003,72.8353928,,,14400000.0
107,32920.0,1200.0,"(18.9162281, 72.8295801)",18.9162281,72.8295801,,,39500000.0
108,13710.0,569.0,"(19.2022243, 72.8152705)",19.2022243,72.8152705,,,7800000.0
109,36640.0,2347.0,"(19.0017924, 72.82495899999999)",19.0017924,72.82495899999998,,,86000000.0
110,,,"(19.1139223, 72.933971)",19.1139223,72.933971,6192000.0,8939000.0,
111,,,"(19.1529775, 72.84461770000001)",19.1529775,72.84461770000001,,,12000000.0
112,,,"(19.1296561, 72.9333067)",19.129656100000002,72.9333067,,,11399999.999999998
113,,,"(19.1910861, 72.8626421)",19.1910861,72.8626421,13500000.0,14000000.0,
114,,,"(18.9965184, 72.8290116)",18.9965184,72.82901159999999,14800000.0,22599999.999999996,
115,,,"(19.2004454, 72.87370229999999)",19.2004454,72.87370229999998,9783000.0,35800000.0,
116,,,"(19.148385, 72.9270698)",19.148385,72.9270698,3684000.0000000005,5781000.0,
117,,,"(19.1705898, 72.9372799)",19.170589800000002,72.93727990000001,14500000.0,37500000.0,
118,,,"(19.1124059, 72.8863937)",19.1124059,72.8863937,17500000.0,25000000.0,
119,,,"(19.1296561, 72.9333067)",19.129656100000002,72.9333067,11399999.999999998,17700000.0,
120,56430.0,886.0,"(18.9710396, 72.8128308)",18.9710396,72.8128308,,,50000000.0
121,25680.0,740.0,"(19.0720631, 72.8371073)",19.0720631,72.8371073,,,19000000.0
122,13970.0,852.0,"(19.0588586, 72.8790468)",19.0588586,72.8790468,,,11900000.0
