price,title,longitude,latitude,floor,furnishing,tenants preferred,bathroom,balcony,availability,facing,overlooking,car parking,owner resides
"₹ 70,000",3 BHK Apartment for rent in Panchsheel Park 2000 sqft,28.54358673095703,77.21442413330078,3 out of 3 Floors,Furnished,Bachelors/Family,3,2,Immediately,South,Garden/Park,"1 Covered, 1 Open",
"₹ 35,000","3 BHK Apartment for rent in R D Apartment, Dwarka Sector 6 Pocket 1 1600 sqft",28.5918632060399,77.0637851148019,,,,,,,,,,
₹ 1 Lac,3 BHK Builder Floor for rent in Anand Niketan 2100 sqft,,,2 out of 4 Floors,Semi-Furnished,Bachelors/Family,3,2,Immediately,North - East,Main Road,1 Open,Same Premise
"₹ 40,500",3 BHK House for rent in Malviya Nagar 1126 sqft,28.534378051757812,77.20806121826172,1 out of 4 Floors,Semi-Furnished,Bachelors/Family,3,2,Immediately,,,,
"₹ 9,500",3 BHK Builder Floor for rent in Najafgarh 100 sqyrd,,,2 out of 3 Floors,Unfurnished,Bachelors/Family,2,3,Immediately,East,Main Road,,
"₹ 10,000","2 BHK Builder Floor for rent in Sainik Nagar, Uttam Nagar 55 sqyrd",,,,Semi-Furnished,Bachelors/Family,1,1,Immediately,,,1 Open,
"₹ 9,500",1 BHK Builder Floor for rent in Saket,,,4 out of 4 Floors,Unfurnished,Bachelors/Family,1,1,Immediately,,,,
"₹ 9,000",1 BHK Apartment for rent in Vikaspuri,,,3 out of 3 Floors,Semi-Furnished,Bachelors/Family,1,1,Immediately,,Garden/Park,,
"₹ 12,000",2 BHK Builder Floor for rent in Mayur Vihar 1 600 sqft,28.605365753173828,77.29544067382812,4 out of 4 Floors,Semi-Furnished,Bachelors,1,1,Immediately,East,"Garden/Park, Main Road",,
"₹ 20,000",1 BHK Builder Floor for rent in Patel Nagar West,,,Upper Basement out of 4 Floors,Semi-Furnished,Bachelors/Family,1,1,Immediately,,,,
"₹ 55,000","3 BHK Apartment for rent in Azad Apartment, Sri Aurobindo Marg 1500 sqft",28.542598,77.2009124199753,,,,,,,,,,
"₹ 25,000",3 BHK Builder Floor for rent in Vivek Vihar 200 sqyrd,,,1 out of 3 Floors,Furnished,Bachelors/Family,2,2,Immediately,North - West,"Garden/Park, Main Road",1 Open,
"₹ 25,000",2 BHK Builder Floor for rent in Uttari Pitampura 850 sqft,28.711339950561523,77.14173126220703,3 out of 4 Floors,Unfurnished,Bachelors,2,1,Immediately,North - East,"Garden/Park, Main Road",,
