price,title,latitude,longitude,floor,furnishing,tenants preferred,bathroom,balcony,availability,facing,overlooking,car parking,owner resides,curr_mark,hasLac,inr_pmo,usd_pmo
"₹ 11,000",2 BHK Builder Floor for rent in Rohini Sector 16 55 sqm,28.7162092,77.1170743,Ground out of 4 Floors,Unfurnished,Bachelors/Family,2,1,Immediately,East,,,,₹,False,11000.0,154.24
"₹ 16,500",2 BHK Builder Floor for rent in Mayur Vihar 1 700 sqft,28.605365753173828,77.29544067382812,3 out of 4 Floors,Semi-Furnished,Bachelors,2,1,Immediately,East,"Garden/Park, Main Road",,,₹,False,16500.0,231.36
"₹ 5,500",1 BHK Apartment for rent in Mahipalpur,28.5444849,77.1256912,3 out of 4 Floors,Unfurnished,Bachelors/Family,1,,Immediately,,,,,₹,False,5500.0,77.12
"₹ 10,000",1 BHK Apartment for rent in Rohini Sector 18,28.74116325378418,77.13461303710938,2 out of 3 Floors,Semi-Furnished,Bachelors/Family,1,1,Immediately,,,,,₹,False,10000.0,140.22
"₹ 70,000",3 BHK Apartment for rent in Panchsheel Park 2000 sqft,28.54358673095703,77.21442413330078,3 out of 3 Floors,Furnished,Bachelors/Family,3,2,Immediately,South,Garden/Park,"1 Covered, 1 Open",,₹,False,70000.0,981.54
"₹ 35,000","3 BHK Apartment for rent in R D Apartment, Dwarka Sector 6 Pocket 1 1600 sqft",28.5918632060399,77.0637851148019,,,,,,,,,,,₹,False,35000.0,490.77
₹ 1 Lac,3 BHK Builder Floor for rent in Anand Niketan 2100 sqft,28.5785457,77.1638649,2 out of 4 Floors,Semi-Furnished,Bachelors/Family,3,2,Immediately,North - East,Main Road,1 Open,Same Premise,₹,True,,
"₹ 40,500",3 BHK House for rent in Malviya Nagar 1126 sqft,28.53437805175781,77.20806121826172,1 out of 4 Floors,Semi-Furnished,Bachelors/Family,3,2,Immediately,,,,,₹,False,40500.0,567.89
"₹ 9,500",3 BHK Builder Floor for rent in Najafgarh 100 sqyrd,28.612304,76.9823908,2 out of 3 Floors,Unfurnished,Bachelors/Family,2,3,Immediately,East,Main Road,,,₹,False,9500.0,133.21
"₹ 10,000","2 BHK Builder Floor for rent in Sainik Nagar, Uttam Nagar 55 sqyrd",,,,Semi-Furnished,Bachelors/Family,1,1,Immediately,,,1 Open,,₹,False,10000.0,140.22
