price,title,furnishing,tenants preferred,bathroom,availability,longitude,latitude,balcony,floor,facing,overlooking,car parking,owner resides
"₹ 31,000",3 BHK Apartment for rent in Madhapur 1500 sqft,Furnished,Bachelors/Family,3,Immediately,,,,4 out of 5 Floors,,,,
"₹ 9,000","1 BHK Apartment for rent in Dilsukh Nagar, NH 9",Furnished,Bachelors/Family,1,Immediately,17.367401123046875,78.52318572998047,,4 out of 5 Floors,North,Main Road,,
"₹ 17,000",3 BHK Apartment for rent in Tarnaka 1465 sqft,Unfurnished,Bachelors/Family,3,Immediately,,,,1 out of 5 Floors,,,,
"₹ 11,000","1 BHK House for rent in Hyder Nagar, NH 9",Semi-Furnished,Family,1,Immediately,17.523937225341797,78.42308044433594,1,2 out of 3 Floors,East,Main Road,,
"₹ 25,000","3 BHK Apartment for rent in Panchavati Colony, Peerzadiguda, NH 2 2 1550 sqft",Semi-Furnished,Bachelors/Family,3,Immediately,,,,5 out of 5 Floors,,,,
"₹ 30,000","3 BHK Apartment for rent in Himayath Nagar, NH 7 1800 sqft",Semi-Furnished,Bachelors/Family,3,Immediately,17.405160903930664,78.48606872558594,3,3 out of 5 Floors,North,Garden/Park,"1 Covered, 1 Open",
"₹ 28,000",6 BHK Villa for rent in Attapur 3500 sqft,Unfurnished,Bachelors/Family,6,Immediately,,,,,,,,
"₹ 15,000","1 BHK Apartment for rent in Gachibowli, Outer Ring Road",Unfurnished,Bachelors,1,Immediately,17.44356346130371,78.33977508544922,1,3 out of 5 Floors,East,Main Road,,
"₹ 13,000","3 BHK Apartment for rent in Ghatkesar, NH 2 2 1360 sqft",Furnished,Bachelors,2,Immediately,17.4286804199219,78.6440505981445,1,3 out of 8 Floors,West,,2 Covered,
"₹ 25,000",2 BHK Apartment for rent in Rai Durg 1330 sqft,Semi-Furnished,Bachelors/Family,2,Immediately,17.42182159423828,78.38440704345703,1,3 out of 4 Floors,,Main Road,"2 Covered, 2 Open",
"₹ 16,000",3 BHK Apartment for rent in Jubilee Hills 1500 sqft,Furnished,Bachelors/Family,3,Immediately,,,2,4 out of 5 Floors,,,,
"₹ 35,000",3 BHK Apartment for rent in Nanakram Guda 2030 sqft,Semi-Furnished,Bachelors/Family,3,Immediately,17.41388702392578,78.34127044677734,3,4 out of 14 Floors,East,,1 Covered,
"₹ 50,000",3 BHK Apartment for rent in 5th Phase KPHB 1854 sqft,Semi-Furnished,Bachelors/Family,3,Immediately,,,,11 out of 34 Floors,,,,
"₹ 18,000","2 BHK House for rent in Manikonda, Outer Ring Road 900 sqft",Furnished,Family,2,Immediately,17.40459273509322,78.3828938519287,,2 out of 2 Floors,East,Main Road,1 Open,Same Premise
"₹ 12,000","2 BHK Apartment for rent in Sanjeeva Reddy Nagar, NH 9 1000 sqft",Semi-Furnished,Bachelors/Family,2,Immediately,17.445480346679688,78.44397735595703,1,1 out of 5 Floors,East,"Main Road, Garden/Park",,
"₹ 42,000","3 BHK Apartment for rent in Aparna Serene Park, Kondapur 1880 sqft",,,,,17.4640338,78.337495,,,,,,
"₹ 7,500","1 BHK Apartment for rent in Krishna Nagar, Yousufguda",Unfurnished,Bachelors/Family,1,Immediately,,,1,3 out of 4 Floors,East,"Garden/Park, Main Road",,
"₹ 22,000","3 BHK Apartment for rent in Sanjeeva Reddy Nagar, NH 9 1800 sqft",Semi-Furnished,Bachelors,3,Immediately,17.43900489807129,78.45391082763672,2,1 out of 5 Floors,East,Main Road,"1 Covered, 1 Open",
"₹ 60,000",5 BHK Villa for rent in Bowenpally 5500 sqft,Furnished,Bachelors/Family,5,Immediately,,,2,,,,1 Covered,
"₹ 11,000","2 BHK House for rent in Bhudevi Nagar, Secunderabad, Siddipet Road 1300 sqft",Furnished,Bachelors/Family,2,Immediately,,,,Ground out of 6 Floors,,,,
"₹ 18,000","3 BHK Builder Floor for rent in Neknampur, Manikonda, Outer Ring Road 1400 sqft",Semi-Furnished,Bachelors/Family,3,Immediately,,,,1 out of 4 Floors,,,,
₹ 1.9 Lac,"10 BHK House for rent in Gachibowli, Outer Ring Road 6000 sqft",Semi-Furnished,Bachelors/Family,> 10,Immediately,,,4,,East,Garden/Park,,
"₹ 22,000","3 BHK Apartment for rent in Sun City, Bandlaguda, Chevella Road 1235 sqft",Semi-Furnished,Bachelors/Family,2,Immediately,,,,5 out of 6 Floors,,,,
"₹ 8,000","3 BHK House for rent in Telangana NGOS Colony, Katedan Industrial Area 266 sqyrd",Unfurnished,Bachelors/Family,2,Immediately,17.304296493530273,78.44496154785156,,Ground out of 1 Floor,South,Garden/Park,1 Covered,
"₹ 12,500","2 BHK Builder Floor for rent in KSR's Sri Jaya Castle, Nizampet 1200 sqft",,,,,,,,,,,,
"₹ 26,000","2 BHK Penthouse for rent in Somajiguda, NH 9 1800 sqft",Furnished,Bachelors/Family,2,Immediately,,,,5 out of 5 Floors,,,,
"₹ 17,000","2 BHK House for rent in Pragathi Nagar, Kukatpally 1300 sqft",Semi-Furnished,Bachelors/Family,2,Immediately,17.519025802612305,78.39411163330078,,3 out of 4 Floors,North - East,,,
"₹ 12,000","2 BHK Apartment for rent in Hydershakote, Bandlaguda, Chevella Road 1190 sqft",Semi-Furnished,Bachelors,2,Immediately,17.362762451171875,78.38982391357422,2,3 out of 4 Floors,North - East,Main Road,,
"₹ 23,000",2 BHK Builder Floor for rent in Kondapur 1200 sqft,Semi-Furnished,Bachelors/Family,2,Immediately,,,,1 out of 6 Floors,,,,
"₹ 9,000","2 BHK Apartment for rent in Janapriya Apartments, Miyapur, NH 9 700 sqft",,,,,17.4933615405279,78.356628,,,,,,
"₹ 8,000",1 BHK Apartment for rent in Moti Nagar,Furnished,Bachelors/Family,1,Immediately,,,,4 out of 4 Floors,,,,
"₹ 11,000","1 BHK Apartment for rent in Banjara Hills, NH 9",Unfurnished,Bachelors/Family,1,Immediately,,,,2 out of 5 Floors,,,,
"₹ 6,500",2 BHK House for rent in Rampally 1200 sqft,Unfurnished,Bachelors/Family,2,Immediately,,,,1 out of 4 Floors,,,,
"₹ 9,000","2 BHK Apartment for rent in Machabollaram, Medchal Road 1040 sqft",Semi-Furnished,Bachelors/Family,2,Immediately,,,,1 out of 3 Floors,,,,
"₹ 8,000",2 BHK House for rent in Karmanghat 1150 sqft,Semi-Furnished,Bachelors/Family,2,Immediately,,,,3 out of 3 Floors,,,,
